"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"Acoustic dead zone","2007","Stratum_1"," [kg]",5771423358.87837,862987583.741872,0.149527686686562
"ADZ to Effective fishing height","2007","Stratum_1"," [kg]",1596099916.41711,219954871.655317,0.137807708272466
"EFH to surface","2007","Stratum_1"," [kg]",2096587812.64512,426921257.99536,0.20362670021283
"Acoustic dead zone","2008","Stratum_1"," [kg]",3990190076.14722,481492428.896378,0.120669045761672
"ADZ to Effective fishing height","2008","Stratum_1"," [kg]",1120399137.779,164003498.114889,0.146379529031054
"EFH to surface","2008","Stratum_1"," [kg]",854190463.099252,181896071.722966,0.212945566101258
"Acoustic dead zone","2009","Stratum_1"," [kg]",1378292418.54324,177628426.408509,0.12887571898295
"ADZ to Effective fishing height","2009","Stratum_1"," [kg]",891005787.555263,134072729.642159,0.150473466631487
"EFH to surface","2009","Stratum_1"," [kg]",302880151.140045,64593392.0577378,0.213263866300276
"Acoustic dead zone","2010","Stratum_1"," [kg]",8433543229.01508,1332405389.55536,0.157988801785151
"ADZ to Effective fishing height","2010","Stratum_1"," [kg]",855771090.042401,142638846.456075,0.166678739344895
"EFH to surface","2010","Stratum_1"," [kg]",1382020788.95212,327183083.377012,0.236742519354639
"Acoustic dead zone","2011","Stratum_1"," [kg]",6004282821.76413,771385978.006029,0.128472625441616
"ADZ to Effective fishing height","2011","Stratum_1"," [kg]",0,0,0
"EFH to surface","2011","Stratum_1"," [kg]",0,0,0
