"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1982","Stratum_1"," [counts*km^2]",762051.830045228,94444.6259539032,0.123934648839171
"1","1983","Stratum_1"," [counts*km^2]",612907.566238451,73214.2831205303,0.119454037041609
"1","1984","Stratum_1"," [counts*km^2]",344774.218045077,38677.2789685399,0.11218147107358
"1","1985","Stratum_1"," [counts*km^2]",505206.454070907,59436.3985601097,0.117647741989788
"1","1986","Stratum_1"," [counts*km^2]",458581.690288582,55700.9004726574,0.121463420045413
"1","1987","Stratum_1"," [counts*km^2]",903802.920491285,107268.262659458,0.118685457003336
"1","1988","Stratum_1"," [counts*km^2]",830671.265863691,72092.4173439964,0.0867881438863044
"1","1989","Stratum_1"," [counts*km^2]",879108.153013046,77821.7222912393,0.0885234905677009
"1","1990","Stratum_1"," [counts*km^2]",966351.091501417,86273.573433725,0.0892776695679848
"1","1991","Stratum_1"," [counts*km^2]",591459.874308023,58573.8534707105,0.0990326749371443
"1","1992","Stratum_1"," [counts*km^2]",478327.950557462,46952.8640129395,0.0981604022056809
"1","1993","Stratum_1"," [counts*km^2]",709563.875496586,74084.7678338825,0.104408877610962
"1","1994","Stratum_1"," [counts*km^2]",473633.701664807,59539.2408764753,0.125707357114151
"1","1995","Stratum_1"," [counts*km^2]",351131.254682626,36735.1941344152,0.104619550793388
"1","1996","Stratum_1"," [counts*km^2]",414679.158652298,40999.9184588958,0.0988714228902774
"1","1997","Stratum_1"," [counts*km^2]",341545.927122868,39682.1976231823,0.116184075030434
"1","1998","Stratum_1"," [counts*km^2]",404444.726533633,39962.5516511181,0.0988084379134435
"1","1999","Stratum_1"," [counts*km^2]",583193.854939232,64361.7540116987,0.110360823363622
"1","2000","Stratum_1"," [counts*km^2]",735203.846705361,83687.8594595848,0.113829463535333
"1","2001","Stratum_1"," [counts*km^2]",637601.073073966,67454.72079691,0.105794553437153
"1","2002","Stratum_1"," [counts*km^2]",513182.207500807,51130.0820295509,0.099633388068059
"1","2003","Stratum_1"," [counts*km^2]",2401244.66448661,204350.142303979,0.0851017579866935
"1","2004","Stratum_1"," [counts*km^2]",1501924.74137209,112135.415035831,0.0746611410991134
"1","2005","Stratum_1"," [counts*km^2]",1279134.9039841,74255.4982730798,0.0580513423891391
"1","2006","Stratum_1"," [counts*km^2]",1565278.93583627,155391.762669001,0.0992741671221562
"1","2007","Stratum_1"," [counts*km^2]",831274.44087091,50717.3456495914,0.0610115542545201
"1","2008","Stratum_1"," [counts*km^2]",1075761.00907999,113741.221375069,0.10573093876338
"1","2009","Stratum_1"," [counts*km^2]",1885554.10282277,226247.58047731,0.119989970130587
"1","2010","Stratum_1"," [counts*km^2]",670633.729437176,71035.0806987337,0.105922320307911
"1","2011","Stratum_1"," [counts*km^2]",707757.021157531,69861.195883884,0.0987078810883805
"1","2012","Stratum_1"," [counts*km^2]",243448.138239974,24503.1887402717,0.100650548890697
"1","2013","Stratum_1"," [counts*km^2]",368664.337305177,43066.9318638404,0.116818817297725
"1","2014","Stratum_1"," [counts*km^2]",396710.267825473,33679.0034056546,0.0848957189594881
"1","2015","Stratum_1"," [counts*km^2]",402066.44735395,35085.9694396305,0.0872641068921209
"1","2016","Stratum_1"," [counts*km^2]",457044.268709762,35011.585010923,0.076604362876622
"1","2017","Stratum_1"," [counts*km^2]",715788.789947363,51689.8955527654,0.072213893649503
"1","2018","Stratum_1"," [counts*km^2]",491891.922426057,45786.738562087,0.0930829242656854
"1","2019","Stratum_1"," [counts*km^2]",706576.698339299,78445.1843219549,0.111021470855646
"1","2020","Stratum_1"," [counts*km^2]",572328.653458771,93815.7750782802,0.16391940978548
"1","2021","Stratum_1"," [counts*km^2]",590085.475385676,57567.9316539545,0.097558631851307
"1","2022","Stratum_1"," [counts*km^2]",513122.382918323,80537.1242510397,0.15695500124745
