"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1982","Stratum_1"," [counts*km^2]",749192.165864,91047.7943834482,0.12152795842232
"1","1983","Stratum_1"," [counts*km^2]",639349.122827341,77338.0600625225,0.120963738435296
"1","1984","Stratum_1"," [counts*km^2]",358923.921486665,40477.8485849635,0.112775566524805
"1","1985","Stratum_1"," [counts*km^2]",485944.052322627,55744.7721678177,0.114714383068131
"1","1986","Stratum_1"," [counts*km^2]",467691.374146408,56869.8072819317,0.121596870127711
"1","1987","Stratum_1"," [counts*km^2]",938460.434905495,109120.805801275,0.116276405208562
"1","1988","Stratum_1"," [counts*km^2]",868705.669708128,77657.7136350016,0.0893947355737801
"1","1989","Stratum_1"," [counts*km^2]",874588.151447674,77562.5066693759,0.0886846071959579
"1","1990","Stratum_1"," [counts*km^2]",982469.722864383,88641.8436043239,0.0902234863237203
"1","1991","Stratum_1"," [counts*km^2]",594824.850310372,57634.8968224672,0.0968938953918855
"1","1992","Stratum_1"," [counts*km^2]",495140.149999443,48870.0963332262,0.0986995224145755
"1","1993","Stratum_1"," [counts*km^2]",731301.934535215,77332.5227359114,0.105746366970929
"1","1994","Stratum_1"," [counts*km^2]",459521.789014521,53349.683540018,0.116098267406276
"1","1995","Stratum_1"," [counts*km^2]",359350.193365175,38861.9719409245,0.108145126003683
"1","1996","Stratum_1"," [counts*km^2]",428582.762520636,42717.6824913045,0.0996719565669597
"1","1997","Stratum_1"," [counts*km^2]",347553.510863537,40374.6430692826,0.116168134711018
"1","1998","Stratum_1"," [counts*km^2]",415025.178007228,41710.9922114773,0.10050231750217
"1","1999","Stratum_1"," [counts*km^2]",678529.05924409,82982.1191232423,0.122297074816055
"1","2000","Stratum_1"," [counts*km^2]",655249.890815433,73792.8439947924,0.112617865381038
"1","2001","Stratum_1"," [counts*km^2]",633190.083785357,67348.3633714414,0.106363578798988
"1","2002","Stratum_1"," [counts*km^2]",500613.462251843,48428.5390312999,0.0967383873646951
"1","2003","Stratum_1"," [counts*km^2]",2473873.879948,216431.482823977,0.0874868701182641
"1","2004","Stratum_1"," [counts*km^2]",1686973.72846878,154168.900853385,0.0913878492899353
"1","2005","Stratum_1"," [counts*km^2]",1254900.34215708,72814.5985008027,0.0580242080224794
"1","2006","Stratum_1"," [counts*km^2]",1652929.56983824,183357.708290449,0.110928929844477
"1","2007","Stratum_1"," [counts*km^2]",868234.553867311,54340.8889549092,0.0625877980931105
"1","2008","Stratum_1"," [counts*km^2]",1141795.35698973,120903.334512887,0.105888795021588
"1","2009","Stratum_1"," [counts*km^2]",1810895.27171351,223770.364173071,0.123568915148436
"1","2010","Stratum_1"," [counts*km^2]",670918.037862807,73154.8485933187,0.109036938142775
"1","2011","Stratum_1"," [counts*km^2]",699674.313371274,74466.6830436073,0.106430494332143
"1","2012","Stratum_1"," [counts*km^2]",253629.255329566,26111.227440681,0.102950376945877
"1","2013","Stratum_1"," [counts*km^2]",341879.384457085,37311.2587918323,0.109135737596707
"1","2014","Stratum_1"," [counts*km^2]",419406.331369646,36978.351968188,0.0881683207962756
"1","2015","Stratum_1"," [counts*km^2]",399882.902533084,34876.2279170498,0.0872161017540988
"1","2016","Stratum_1"," [counts*km^2]",462037.514610505,34615.2357615806,0.074918669300611
"1","2017","Stratum_1"," [counts*km^2]",711576.903127979,53833.1109737267,0.0756532579080137
"1","2018","Stratum_1"," [counts*km^2]",479547.012444562,44218.3947433375,0.0922086752619473
"1","2019","Stratum_1"," [counts*km^2]",692296.684487691,65617.0236797472,0.0947816523609452
"1","2020","Stratum_1"," [counts*km^2]",542024.415765171,91593.2790369654,0.1689836774376
"1","2021","Stratum_1"," [counts*km^2]",582193.410405254,62127.1010767148,0.106712133745157
"1","2022","Stratum_1"," [counts*km^2]",511820.433199827,79302.8408275241,0.154942701938909
