"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1982","Stratum_1"," [counts*km^2]",11735.1015839827,3450.64207920143,0.294044500126971
"2","1982","Stratum_1"," [counts*km^2]",131208.333236599,21734.6709527973,0.165650080422901
"3","1982","Stratum_1"," [counts*km^2]",71483.6892994822,16258.8068212266,0.227447785369751
"1","1983","Stratum_1"," [counts*km^2]",14107.9256980359,4327.66705100501,0.306754312691588
"2","1983","Stratum_1"," [counts*km^2]",131569.603151953,22170.2134603242,0.168505588898974
"3","1983","Stratum_1"," [counts*km^2]",59570.7497143599,12873.6148355013,0.216106308838313
"1","1984","Stratum_1"," [counts*km^2]",9964.35780512097,2667.33393383507,0.267687490353292
"2","1984","Stratum_1"," [counts*km^2]",81881.1415699559,15523.0058031433,0.189579743339082
"3","1984","Stratum_1"," [counts*km^2]",57714.3156693215,15564.3950815054,0.26967997282828
"1","1985","Stratum_1"," [counts*km^2]",12106.8113488342,4489.89417065945,0.370856870673202
"2","1985","Stratum_1"," [counts*km^2]",107373.798110079,22509.7029633471,0.209638695468984
"3","1985","Stratum_1"," [counts*km^2]",77180.9233403894,20156.4337680386,0.261158235684006
"1","1986","Stratum_1"," [counts*km^2]",11891.7605555151,3666.14700417693,0.308293039290692
"2","1986","Stratum_1"," [counts*km^2]",106170.784146664,19572.3164465463,0.184347479430021
"3","1986","Stratum_1"," [counts*km^2]",47430.91694089,10459.5734262857,0.220522269036475
"1","1987","Stratum_1"," [counts*km^2]",16564.4709575374,3897.7745923409,0.235309331782027
"2","1987","Stratum_1"," [counts*km^2]",138762.47964889,21696.2357597995,0.156355203616261
"3","1987","Stratum_1"," [counts*km^2]",36186.1175741982,6927.52868746561,0.191441612194538
"1","1988","Stratum_1"," [counts*km^2]",28754.7775919225,6163.23223270748,0.214337677034887
"2","1988","Stratum_1"," [counts*km^2]",179421.402705938,28135.8865849645,0.156814550330306
"3","1988","Stratum_1"," [counts*km^2]",44044.5410799856,9165.46454425503,0.208095358006124
"1","1989","Stratum_1"," [counts*km^2]",23195.0197563867,4869.33804056028,0.209930325203518
"2","1989","Stratum_1"," [counts*km^2]",204887.910050912,27868.815760622,0.136019815682131
"3","1989","Stratum_1"," [counts*km^2]",49963.2817418417,10424.2240049895,0.208637696355717
"1","1990","Stratum_1"," [counts*km^2]",7702.19536694149,2135.79557174276,0.277296987416054
"2","1990","Stratum_1"," [counts*km^2]",215982.790908947,34012.2831909189,0.157476820480839
"3","1990","Stratum_1"," [counts*km^2]",107673.464969402,26248.0145981289,0.243774216847094
"1","1991","Stratum_1"," [counts*km^2]",9450.90858965117,2441.07629548552,0.25829011806955
"2","1991","Stratum_1"," [counts*km^2]",138147.950281754,23162.3942238158,0.167663683583983
"3","1991","Stratum_1"," [counts*km^2]",73775.0758970741,19107.669430382,0.258998980320124
"1","1992","Stratum_1"," [counts*km^2]",11729.4054658549,2726.84694542319,0.232479553491541
"2","1992","Stratum_1"," [counts*km^2]",140777.94939226,23501.4104514974,0.166939570813137
"3","1992","Stratum_1"," [counts*km^2]",55864.8416911883,12812.3522181271,0.229345538808679
"1","1993","Stratum_1"," [counts*km^2]",26326.8998777603,5669.0043174534,0.215331252208785
"2","1993","Stratum_1"," [counts*km^2]",110172.032152455,19391.654864492,0.176012500501561
"3","1993","Stratum_1"," [counts*km^2]",26739.6331853911,7403.9600557162,0.276890861007072
"1","1994","Stratum_1"," [counts*km^2]",9323.51763550113,2046.71395860108,0.219521648225109
"2","1994","Stratum_1"," [counts*km^2]",87489.0653146865,14768.0378841772,0.168798670223056
"3","1994","Stratum_1"," [counts*km^2]",20935.7556824261,6301.4435871636,0.300989545481425
"1","1995","Stratum_1"," [counts*km^2]",7126.50739926585,1906.1707614719,0.267476149911563
"2","1995","Stratum_1"," [counts*km^2]",133654.439572702,22205.9450879224,0.166144462981669
