"","E_km","N_km","Year","Category"
"1",454.290997605058,4668.98016906815,1982,1
"2",478.647645381053,4664.52896598898,1983,1
"3",494.07906322529,4676.94517559417,1984,1
"4",415.753289712949,4638.64232139057,1985,1
"5",517.57450777445,4667.77001135459,1986,1
"6",471.849074271089,4699.60709091173,1987,1
"7",509.398576002052,4713.84186959406,1988,1
"8",481.654330216426,4645.56665796188,1989,1
"9",503.350904020442,4657.84757339719,1990,1
"10",570.143285487847,4653.48633330217,1991,1
"11",479.7739499709,4705.78434984102,1992,1
"12",465.45460082012,4690.26662654464,1993,1
"13",469.236331186417,4701.54868327241,1994,1
"14",523.418122501564,4666.39789161419,1995,1
"15",487.012147764473,4678.66222257125,1996,1
"16",475.222058430487,4684.73956469581,1997,1
"17",453.475951166258,4706.46716325265,1998,1
"18",462.064010162607,4664.38760907834,1999,1
"19",427.469504308666,4691.18033924235,2000,1
"20",472.725945545574,4668.70790946096,2001,1
"21",433.033058652731,4672.94603465153,2002,1
"22",382.863627610156,4630.70201240748,2003,1
"23",492.875020257441,4630.79270394401,2004,1
"24",372.555158871574,4641.79885179079,2005,1
"25",447.424468658558,4686.18305051982,2006,1
"26",463.712121986272,4713.98437116411,2007,1
"27",447.674735344198,4679.75104023074,2008,1
"28",365.333525401536,4611.46172245516,2009,1
"29",396.285065729165,4625.19528481471,2010,1
"30",429.08487899068,4636.93881906964,2011,1
"31",492.011075884147,4741.38045148432,2012,1
"32",488.501386558481,4675.37232911956,2013,1
"33",441.183025392058,4657.48300483694,2014,1
"34",455.262731194201,4703.36876186642,2015,1
"35",547.686406883958,4799.4660940146,2016,1
"36",452.133497356873,4640.00974735517,2017,1
"37",446.351006602317,4671.96390827476,2018,1
"38",494.760895398102,4661.78191107984,2019,1
"39",468.326561938512,4662.33085037332,2020,1
"40",475.694358045885,4620.07954332077,2021,1
"41",510.128283806224,4640.35999004225,2022,1
"42",534.717798164743,4675.9745660482,1982,2
"43",534.028587553622,4674.21079032244,1983,2
"44",529.850406960215,4687.93027733838,1984,2
"45",552.033731986159,4691.20261191572,1985,2
"46",556.446568871122,4677.52442776892,1986,2
"47",546.470921696382,4673.80682875298,1987,2
"48",567.374122015208,4671.73422025743,1988,2
"49",546.616575446963,4669.63908528397,1989,2
"50",556.893943195721,4664.37608683702,1990,2
"51",556.996648398992,4671.93252171573,1991,2
"52",570.716440369286,4659.68847717205,1992,2
"53",543.552850835423,4676.55055004323,1993,2
"54",543.308076290381,4673.98652250243,1994,2
"55",525.916185443332,4666.66450436664,1995,2
"56",566.054325076831,4668.28228962483,1996,2
"57",575.357228809817,4663.76448377427,1997,2
"58",560.09846030641,4665.31936892748,1998,2
"59",542.164206904333,4660.15234729985,1999,2
"60",539.308898164139,4661.53217489026,2000,2
"61",546.731918599443,4671.06816851448,2001,2
"62",562.669137152721,4661.72552403956,2002,2
"63",521.713180799766,4685.14434024496,2003,2
"64",516.907782201074,4693.18970173718,2004,2
"65",537.788381863678,4683.66681329057,2005,2
"66",509.932878753226,4691.3441666189,2006,2
"67",539.165796920314,4674.29640565055,2007,2
"68",525.89917134111,4672.3253393985,2008,2
"69",542.485900570518,4666.66145178749,2009,2
"70",558.87501818537,4651.77798917333,2010,2
"71",535.940685929446,4656.30060297782,2011,2
"72",540.690764439316,4675.72522653128,2012,2
"73",597.792413306729,4665.67209711365,2013,2
"74",561.967983513479,4686.61359346167,2014,2
"75",531.193723926789,4687.55995745913,2015,2
"76",539.210701551787,4686.21669144834,2016,2
"77",565.658398990059,4669.94315307487,2017,2
"78",577.471235881756,4687.63107991099,2018,2
"79",589.522130718015,4681.78334698225,2019,2
