"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"Ages [0-2)","1982 Spring","Stratum_1"," [counts*km2/km2]",137143.142461962,34687.355238126,0.252928105739935
"Ages [2-5)","1982 Spring","Stratum_1"," [counts*km2/km2]",286859.966734805,42633.1638756638,0.148620124170471
"Ages [5+]","1982 Spring","Stratum_1"," [counts*km2/km2]",114670.795051551,19582.9182807565,0.170775115598987
"Unknown Ages","1982 Spring","Stratum_1"," [counts*km2/km2]",441111.420878869,123203.908497755,0.279303374762512
"Ages [0-2)","1982 Fall","Stratum_1"," [counts*km2/km2]",57310.8513303128,17019.2399660469,0.296963656462824
"Ages [2-5)","1982 Fall","Stratum_1"," [counts*km2/km2]",153351.589053697,29508.3775556542,0.192423030877897
"Ages [5+]","1982 Fall","Stratum_1"," [counts*km2/km2]",13750.456758699,5731.74635546684,0.416840433452566
"Unknown Ages","1982 Fall","Stratum_1"," [counts*km2/km2]",75917.2406165295,29716.5651934093,0.391433684260372
"Ages [0-2)","1983 Spring","Stratum_1"," [counts*km2/km2]",95820.510799367,27168.5678520511,0.283536036547935
"Ages [2-5)","1983 Spring","Stratum_1"," [counts*km2/km2]",302551.443521783,50136.6989846937,0.16571297231667
"Ages [5+]","1983 Spring","Stratum_1"," [counts*km2/km2]",75514.1564348486,14248.4538312156,0.188685863736142
"Unknown Ages","1983 Spring","Stratum_1"," [counts*km2/km2]",372165.273431273,89681.3256406907,0.240971772604819
"Ages [0-2)","1983 Fall","Stratum_1"," [counts*km2/km2]",52159.4943982844,18817.70440914,0.36077236994381
"Ages [2-5)","1983 Fall","Stratum_1"," [counts*km2/km2]",134662.229758197,30862.8379021241,0.229187040475582
"Ages [5+]","1983 Fall","Stratum_1"," [counts*km2/km2]",14161.9515640069,4907.38514286964,0.34651898932785
"Unknown Ages","1983 Fall","Stratum_1"," [counts*km2/km2]",78004.7206350642,31329.0715506146,0.401630456407682
"Ages [0-2)","1984 Spring","Stratum_1"," [counts*km2/km2]",36824.0692139632,8232.61517501621,0.223566144392715
"Ages [2-5)","1984 Spring","Stratum_1"," [counts*km2/km2]",141813.047037225,25877.5047290939,0.182476191505153
"Ages [5+]","1984 Spring","Stratum_1"," [counts*km2/km2]",35116.2543837548,8318.67760391058,0.236889661209394
"Unknown Ages","1984 Spring","Stratum_1"," [counts*km2/km2]",144240.994980193,34917.8924288052,0.242080224374493
"Ages [0-2)","1984 Fall","Stratum_1"," [counts*km2/km2]",106248.639483448,33252.5393769428,0.3129690840147
"Ages [2-5)","1984 Fall","Stratum_1"," [counts*km2/km2]",133979.804320345,28601.4824303842,0.213476072572835
"Ages [5+]","1984 Fall","Stratum_1"," [counts*km2/km2]",17096.1370660183,6231.43864715944,0.364493956915304
"Unknown Ages","1984 Fall","Stratum_1"," [counts*km2/km2]",101365.598214945,36406.1506564005,0.359156866802103
"Ages [0-2)","1985 Spring","Stratum_1"," [counts*km2/km2]",77445.0429680879,20711.0388670221,0.267428851134557
"Ages [2-5)","1985 Spring","Stratum_1"," [counts*km2/km2]",230011.250866586,36690.3988977725,0.159515670470633
"Ages [5+]","1985 Spring","Stratum_1"," [counts*km2/km2]",113790.398818452,19497.8248198827,0.171348593750785
"Unknown Ages","1985 Spring","Stratum_1"," [counts*km2/km2]",162082.126468035,37812.8838048738,0.233294593480862
"Ages [0-2)","1985 Fall","Stratum_1"," [counts*km2/km2]",63686.81890313,17402.997618983,0.273259018407775
"Ages [2-5)","1985 Fall","Stratum_1"," [counts*km2/km2]",121935.172563533,28461.6289501627,0.233416071440198
"Ages [5+]","1985 Fall","Stratum_1"," [counts*km2/km2]",18918.2565315248,7928.55974389323,0.419095688372834
"Unknown Ages","1985 Fall","Stratum_1"," [counts*km2/km2]",129476.918127915,53923.5294591112,0.416472142207138
"Ages [0-2)","1986 Spring","Stratum_1"," [counts*km2/km2]",137353.118236167,24937.2064738128,0.181555444783826
"Ages [2-5)","1986 Spring","Stratum_1"," [counts*km2/km2]",189220.503672162,31371.1194630968,0.165791332621382
"Ages [5+]","1986 Spring","Stratum_1"," [counts*km2/km2]",82249.9207036381,14335.3532158381,0.17429017673453
"Unknown Ages","1986 Spring","Stratum_1"," [counts*km2/km2]",131844.626121605,33592.3033774855,0.254787050224573
"Ages [0-2)","1986 Fall","Stratum_1"," [counts*km2/km2]",111245.059734503,28461.5354988478,0.255845388251613
"Ages [2-5)","1986 Fall","Stratum_1"," [counts*km2/km2]",77852.6646601548,17999.1769705657,0.231195387455732
"Ages [5+]","1986 Fall","Stratum_1"," [counts*km2/km2]",14441.4538580083,6348.08553210237,0.439573854164421
"Unknown Ages","1986 Fall","Stratum_1"," [counts*km2/km2]",48996.8351814473,18850.9880318823,0.38473889103393
"Ages [0-2)","1987 Spring","Stratum_1"," [counts*km2/km2]",28061.4539284829,6235.23956078455,0.222199447565176
"Ages [2-5)","1987 Spring","Stratum_1"," [counts*km2/km2]",253720.492757062,33109.0419953144,0.130494157706908
"Ages [5+]","1987 Spring","Stratum_1"," [counts*km2/km2]",48328.1254147489,8396.61693889982,0.173741829769737
"Unknown Ages","1987 Spring","Stratum_1"," [counts*km2/km2]",238583.629384923,104016.10175553,0.435973339929849
"Ages [0-2)","1987 Fall","Stratum_1"," [counts*km2/km2]",229076.937222363,51472.3092661877,0.22469441878483
"Ages [2-5)","1987 Fall","Stratum_1"," [counts*km2/km2]",209313.339372446,40814.9220627303,0.19499436674748
"Ages [5+]","1987 Fall","Stratum_1"," [counts*km2/km2]",5236.83992242814,2502.18641006976,0.477804639273676
"Unknown Ages","1987 Fall","Stratum_1"," [counts*km2/km2]",719756.67294407,220293.551957019,0.306066703148354
"Ages [0-2)","1988 Spring","Stratum_1"," [counts*km2/km2]",137726.089752775,29020.1402115385,0.210709098498556
"Ages [2-5)","1988 Spring","Stratum_1"," [counts*km2/km2]",424499.065116625,44624.0483196987,0.105121664537562
"Ages [5+]","1988 Spring","Stratum_1"," [counts*km2/km2]",78077.5301865139,8923.49157920945,0.11429013645658
"Unknown Ages","1988 Spring","Stratum_1"," [counts*km2/km2]",383973.664746764,110803.736106536,0.288571186723475
"Ages [0-2)","1988 Fall","Stratum_1"," [counts*km2/km2]",95744.6034820531,20814.2972092765,0.217393946523346
"Ages [2-5)","1988 Fall","Stratum_1"," [counts*km2/km2]",164530.214771262,27350.8616541882,0.166236102543309
"Ages [5+]","1988 Fall","Stratum_1"," [counts*km2/km2]",13610.5656023226,5404.0452716091,0.397047810466225
"Unknown Ages","1988 Fall","Stratum_1"," [counts*km2/km2]",137185.51622252,45968.8636175924,0.335085400291305
"Ages [0-2)","1989 Spring","Stratum_1"," [counts*km2/km2]",142402.100798885,29650.1942083261,0.208214584208986
"Ages [2-5)","1989 Spring","Stratum_1"," [counts*km2/km2]",422914.604330224,45528.8895818075,0.107655042213338
"Ages [5+]","1989 Spring","Stratum_1"," [counts*km2/km2]",50041.2772776441,7942.51897922666,0.158719349531371
"Unknown Ages","1989 Spring","Stratum_1"," [counts*km2/km2]",316280.46372728,72455.7207444925,0.229086930917647
"Ages [0-2)","1989 Fall","Stratum_1"," [counts*km2/km2]",91524.8860562145,21784.3822137145,0.238015944650666
"Ages [2-5)","1989 Fall","Stratum_1"," [counts*km2/km2]",265033.384940684,37921.1642614839,0.143080707624705
"Ages [5+]","1989 Fall","Stratum_1"," [counts*km2/km2]",33246.4690661628,5667.79116922094,0.170477988442672
"Unknown Ages","1989 Fall","Stratum_1"," [counts*km2/km2]",165885.523497204,49033.5384017392,0.295586603146631
"Ages [0-2)","1990 Spring","Stratum_1"," [counts*km2/km2]",60366.1725357059,12620.2198599574,0.209061123636631
"Ages [2-5)","1990 Spring","Stratum_1"," [counts*km2/km2]",323843.368799118,40790.716640268,0.125958165490709
"Ages [5+]","1990 Spring","Stratum_1"," [counts*km2/km2]",86889.4253919637,11639.4549994688,0.133957094858926
"Unknown Ages","1990 Spring","Stratum_1"," [counts*km2/km2]",286220.825699166,57808.5327386884,0.201971790827856
"Ages [0-2)","1990 Fall","Stratum_1"," [counts*km2/km2]",43931.2249394148,12419.556358462,0.282704531357587
"Ages [2-5)","1990 Fall","Stratum_1"," [counts*km2/km2]",477879.508518872,62297.3231974259,0.130361988925846
"Ages [5+]","1990 Fall","Stratum_1"," [counts*km2/km2]",163704.045863349,22364.1721379339,0.136613435666716
