"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"Ages [0-2)","1982 Spring","Stratum_1"," [counts*km2/km2]",138379.347534605,35492.9135963805,0.256489962040793
"Ages [2-5)","1982 Spring","Stratum_1"," [counts*km2/km2]",294140.34138102,44593.4858011321,0.151606153687593
"Ages [5+]","1982 Spring","Stratum_1"," [counts*km2/km2]",113094.720629303,19250.2223163986,0.170213270869612
"Unknown Ages","1982 Spring","Stratum_1"," [counts*km2/km2]",441343.719484782,122999.501842879,0.278693218941615
"Ages [0-2)","1982 Fall","Stratum_1"," [counts*km2/km2]",57065.5656883406,16509.6440142004,0.289310091209233
"Ages [2-5)","1982 Fall","Stratum_1"," [counts*km2/km2]",160963.317005549,30840.8708638791,0.191601859589013
"Ages [5+]","1982 Fall","Stratum_1"," [counts*km2/km2]",13865.9834497456,5674.85246129426,0.409264332520054
"Unknown Ages","1982 Fall","Stratum_1"," [counts*km2/km2]",78898.510715907,31199.9169911378,0.395443674513459
"Ages [0-2)","1983 Spring","Stratum_1"," [counts*km2/km2]",94733.8642585195,27660.45860976,0.291980685325759
"Ages [2-5)","1983 Spring","Stratum_1"," [counts*km2/km2]",304428.498018484,50428.9654659857,0.165651263906718
"Ages [5+]","1983 Spring","Stratum_1"," [counts*km2/km2]",75455.4327048591,13959.8473940785,0.185007850245613
"Unknown Ages","1983 Spring","Stratum_1"," [counts*km2/km2]",387535.733223703,92606.568371677,0.238962656685443
"Ages [0-2)","1983 Fall","Stratum_1"," [counts*km2/km2]",56714.1744102934,20629.939342605,0.363752792967762
"Ages [2-5)","1983 Fall","Stratum_1"," [counts*km2/km2]",135978.368692115,31173.4500532199,0.229253008056035
"Ages [5+]","1983 Fall","Stratum_1"," [counts*km2/km2]",14064.321411569,4735.47462855389,0.336701252053198
"Unknown Ages","1983 Fall","Stratum_1"," [counts*km2/km2]",81682.8732252134,31780.645009113,0.389073544480841
"Ages [0-2)","1984 Spring","Stratum_1"," [counts*km2/km2]",36758.0952454794,8219.03941220243,0.223598077030752
"Ages [2-5)","1984 Spring","Stratum_1"," [counts*km2/km2]",154088.942724121,28480.2456488654,0.184829911513223
"Ages [5+]","1984 Spring","Stratum_1"," [counts*km2/km2]",35007.6240829511,8242.62235667281,0.23545220712899
"Unknown Ages","1984 Spring","Stratum_1"," [counts*km2/km2]",142467.158741268,34649.3720653156,0.243209539457733
"Ages [0-2)","1984 Fall","Stratum_1"," [counts*km2/km2]",104947.444306433,32556.6284007915,0.310218401371741
"Ages [2-5)","1984 Fall","Stratum_1"," [counts*km2/km2]",138486.36823468,29243.979310716,0.211168649185449
"Ages [5+]","1984 Fall","Stratum_1"," [counts*km2/km2]",17107.2037542824,6050.73746444775,0.353695294178809
"Unknown Ages","1984 Fall","Stratum_1"," [counts*km2/km2]",112236.359612709,40741.4777109986,0.362997141493045
"Ages [0-2)","1985 Spring","Stratum_1"," [counts*km2/km2]",78492.2648845677,20488.0213535323,0.261019622553411
"Ages [2-5)","1985 Spring","Stratum_1"," [counts*km2/km2]",227093.9842916,34878.049078582,0.153584205179988
"Ages [5+]","1985 Spring","Stratum_1"," [counts*km2/km2]",110924.797932701,18469.0015397136,0.166500204498177
"Unknown Ages","1985 Spring","Stratum_1"," [counts*km2/km2]",167722.54914502,37951.8704386341,0.226277686763629
"Ages [0-2)","1985 Fall","Stratum_1"," [counts*km2/km2]",62686.000960516,17087.8263476301,0.272593977695167
"Ages [2-5)","1985 Fall","Stratum_1"," [counts*km2/km2]",133907.364725621,32427.4430707007,0.242163253209749
"Ages [5+]","1985 Fall","Stratum_1"," [counts*km2/km2]",19874.7968654479,8171.47091997323,0.411147393117725
"Unknown Ages","1985 Fall","Stratum_1"," [counts*km2/km2]",126660.388318296,50685.1460862808,0.40016572473242
"Ages [0-2)","1986 Spring","Stratum_1"," [counts*km2/km2]",136584.326586097,25171.5202467714,0.184292889791452
"Ages [2-5)","1986 Spring","Stratum_1"," [counts*km2/km2]",198218.655042382,32618.4186510204,0.164557763970531
"Ages [5+]","1986 Spring","Stratum_1"," [counts*km2/km2]",83409.9101118788,14286.897698133,0.171285374591219
"Unknown Ages","1986 Spring","Stratum_1"," [counts*km2/km2]",124117.791502591,31312.9591756789,0.252284211607368
"Ages [0-2)","1986 Fall","Stratum_1"," [counts*km2/km2]",111043.152122197,28344.5632588874,0.255257192516434
"Ages [2-5)","1986 Fall","Stratum_1"," [counts*km2/km2]",82214.3706944355,18768.8452861127,0.228291539880182
"Ages [5+]","1986 Fall","Stratum_1"," [counts*km2/km2]",14115.7020751284,6128.75369601639,0.434179870288926
"Unknown Ages","1986 Fall","Stratum_1"," [counts*km2/km2]",52706.2499448927,20369.3941816603,0.386470185280828
"Ages [0-2)","1987 Spring","Stratum_1"," [counts*km2/km2]",27492.8164245433,6132.35169494647,0.223052873166971
"Ages [2-5)","1987 Spring","Stratum_1"," [counts*km2/km2]",255089.311908464,32707.1084761566,0.12821826297408
"Ages [5+]","1987 Spring","Stratum_1"," [counts*km2/km2]",48337.6449415896,8323.55128650299,0.172196045060967
"Unknown Ages","1987 Spring","Stratum_1"," [counts*km2/km2]",213948.035114691,88783.3864255373,0.414976404798218
