"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"Ages [0-2)","1982 Spring","Stratum_1"," [counts*km2/km2]",138461.489394531,35397.162435594,0.255646263740047
"Ages [2-5)","1982 Spring","Stratum_1"," [counts*km2/km2]",290939.421850141,43378.6032842451,0.149098403400928
"Ages [5+]","1982 Spring","Stratum_1"," [counts*km2/km2]",113112.074520621,19259.3913818136,0.170268218167128
"Unknown Ages","1982 Spring","Stratum_1"," [counts*km2/km2]",440964.340640098,122898.189161343,0.278703237053013
"Ages [0-2)","1982 Fall","Stratum_1"," [counts*km2/km2]",56813.5814441682,16400.7412840859,0.288676419743105
"Ages [2-5)","1982 Fall","Stratum_1"," [counts*km2/km2]",159454.951506215,30324.0046377733,0.190172862939231
"Ages [5+]","1982 Fall","Stratum_1"," [counts*km2/km2]",13868.2566988845,5675.94039327217,0.40927569459604
"Unknown Ages","1982 Fall","Stratum_1"," [counts*km2/km2]",78920.1397014861,31221.2708268304,0.395605873797541
"Ages [0-2)","1983 Spring","Stratum_1"," [counts*km2/km2]",94714.0962941592,27539.217878128,0.290761554569425
"Ages [2-5)","1983 Spring","Stratum_1"," [counts*km2/km2]",303663.056753185,50269.0410113039,0.165542168839334
"Ages [5+]","1983 Spring","Stratum_1"," [counts*km2/km2]",75461.3829519573,13960.3938399809,0.185000503487577
"Unknown Ages","1983 Spring","Stratum_1"," [counts*km2/km2]",387578.842846788,92667.5644880493,0.239093454656609
"Ages [0-2)","1983 Fall","Stratum_1"," [counts*km2/km2]",56448.6293881037,20461.7503580478,0.362484449664248
"Ages [2-5)","1983 Fall","Stratum_1"," [counts*km2/km2]",135021.660193768,30729.9953402432,0.227593078741165
"Ages [5+]","1983 Fall","Stratum_1"," [counts*km2/km2]",14063.9475047553,4735.63084744127,0.336721311412748
"Unknown Ages","1983 Fall","Stratum_1"," [counts*km2/km2]",81457.2715629625,31689.9755281662,0.389038018584644
"Ages [0-2)","1984 Spring","Stratum_1"," [counts*km2/km2]",36680.71133488,8187.11971278505,0.223199589507411
"Ages [2-5)","1984 Spring","Stratum_1"," [counts*km2/km2]",152051.614524218,27874.2900957734,0.183321237219311
"Ages [5+]","1984 Spring","Stratum_1"," [counts*km2/km2]",35008.4036511155,8243.45645890038,0.235470789843847
"Unknown Ages","1984 Spring","Stratum_1"," [counts*km2/km2]",142521.321684515,34685.1056149089,0.24336783580837
"Ages [0-2)","1984 Fall","Stratum_1"," [counts*km2/km2]",104317.063053354,32301.1167396974,0.30964365554633
"Ages [2-5)","1984 Fall","Stratum_1"," [counts*km2/km2]",137876.633811497,29006.7196848754,0.210381693279029
"Ages [5+]","1984 Fall","Stratum_1"," [counts*km2/km2]",17106.4513775121,6050.55398574501,0.353700124720137
"Unknown Ages","1984 Fall","Stratum_1"," [counts*km2/km2]",112401.142912493,40811.1244469676,0.363084603852651
"Ages [0-2)","1985 Spring","Stratum_1"," [counts*km2/km2]",78285.9476884125,20401.2919995081,0.260599668291782
"Ages [2-5)","1985 Spring","Stratum_1"," [counts*km2/km2]",226353.676668719,34585.2502077964,0.152792968582586
"Ages [5+]","1985 Spring","Stratum_1"," [counts*km2/km2]",110936.049365715,18470.90079748,0.16650043789272
"Unknown Ages","1985 Spring","Stratum_1"," [counts*km2/km2]",167512.570142217,37950.4651583916,0.226552939437153
"Ages [0-2)","1985 Fall","Stratum_1"," [counts*km2/km2]",62636.1232327607,17037.3842557333,0.272005727308841
