"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"Ages [0-2)","1982 Spring","Stratum_1"," [counts*km2/km2]",137961.0475494,34986.4927042967,0.253596890758378
"Ages [2-5)","1982 Spring","Stratum_1"," [counts*km2/km2]",320127.007882759,51600.8591732848,0.161188709176899
"Ages [5+]","1982 Spring","Stratum_1"," [counts*km2/km2]",128550.691287159,24027.16804414,0.186908120085233
"Unknown Ages","1982 Spring","Stratum_1"," [counts*km2/km2]",442898.730842345,123822.385574559,0.279572680958157
"Ages [0-2)","1982 Fall","Stratum_1"," [counts*km2/km2]",57331.3965141482,16580.2882353706,0.28920084357755
"Ages [2-5)","1982 Fall","Stratum_1"," [counts*km2/km2]",175900.90122933,34940.8353445895,0.198639319641891
"Ages [5+]","1982 Fall","Stratum_1"," [counts*km2/km2]",15709.6366382008,6475.57463755675,0.412203973057547
"Unknown Ages","1982 Fall","Stratum_1"," [counts*km2/km2]",78275.450218517,30821.4953729276,0.393756858464371
"Ages [0-2)","1983 Spring","Stratum_1"," [counts*km2/km2]",94577.2602571874,27183.2186289919,0.287418123078122
"Ages [2-5)","1983 Spring","Stratum_1"," [counts*km2/km2]",331708.979596898,57027.1753897064,0.171919299438343
"Ages [5+]","1983 Spring","Stratum_1"," [counts*km2/km2]",83957.1338856713,16361.630843699,0.194880769345693
"Unknown Ages","1983 Spring","Stratum_1"," [counts*km2/km2]",391479.313851088,93817.4507466721,0.239648552113174
"Ages [0-2)","1983 Fall","Stratum_1"," [counts*km2/km2]",57494.0072477783,20794.0499094018,0.361673344837263
"Ages [2-5)","1983 Fall","Stratum_1"," [counts*km2/km2]",153184.263079664,36972.8786557074,0.241362121097776
"Ages [5+]","1983 Fall","Stratum_1"," [counts*km2/km2]",15854.4129830088,5490.44002117778,0.346303582924317
"Unknown Ages","1983 Fall","Stratum_1"," [counts*km2/km2]",82176.7550673252,32052.5747367902,0.390044297934743
"Ages [0-2)","1984 Spring","Stratum_1"," [counts*km2/km2]",36840.5614092551,8233.60589806301,0.223492954045878
"Ages [2-5)","1984 Spring","Stratum_1"," [counts*km2/km2]",165443.834867517,31768.8921358206,0.192022218061254
"Ages [5+]","1984 Spring","Stratum_1"," [counts*km2/km2]",37671.6040404081,9124.53503340184,0.242212543527865
"Unknown Ages","1984 Spring","Stratum_1"," [counts*km2/km2]",143607.807733092,34931.5130748183,0.243242436649
"Ages [0-2)","1984 Fall","Stratum_1"," [counts*km2/km2]",105079.271758672,32631.9921329872,0.310546424493032
"Ages [2-5)","1984 Fall","Stratum_1"," [counts*km2/km2]",151964.379169701,32834.0025828525,0.216063808915288
"Ages [5+]","1984 Fall","Stratum_1"," [counts*km2/km2]",19478.0043166162,7027.1433557171,0.360773272327617
"Unknown Ages","1984 Fall","Stratum_1"," [counts*km2/km2]",111536.234657267,40123.4889886912,0.359735014472957
"Ages [0-2)","1985 Spring","Stratum_1"," [counts*km2/km2]",78830.324814849,20533.9069617206,0.26048233354295
"Ages [2-5)","1985 Spring","Stratum_1"," [counts*km2/km2]",246878.192059108,40041.9101742801,0.162192982054459
"Ages [5+]","1985 Spring","Stratum_1"," [counts*km2/km2]",119700.965309354,20627.7975049114,0.172327745658534
"Unknown Ages","1985 Spring","Stratum_1"," [counts*km2/km2]",168432.197014268,38194.4990971049,0.226764833411687
"Ages [0-2)","1985 Fall","Stratum_1"," [counts*km2/km2]",63444.4099237628,17344.1247986664,0.273375145572443
"Ages [2-5)","1985 Fall","Stratum_1"," [counts*km2/km2]",164568.330858935,45027.8582365755,0.273611927650725
"Ages [5+]","1985 Fall","Stratum_1"," [counts*km2/km2]",24415.8306023609,10315.4772455762,0.422491350532991
"Unknown Ages","1985 Fall","Stratum_1"," [counts*km2/km2]",127693.477195316,51172.7907865901,0.400747100874367
"Ages [0-2)","1986 Spring","Stratum_1"," [counts*km2/km2]",136394.324893289,25083.6369403607,0.183905283155918
"Ages [2-5)","1986 Spring","Stratum_1"," [counts*km2/km2]",205967.041305189,34222.0021435187,0.166152807394125
"Ages [5+]","1986 Spring","Stratum_1"," [counts*km2/km2]",85731.74814047,14713.6012847379,0.17162371704622
"Unknown Ages","1986 Spring","Stratum_1"," [counts*km2/km2]",124096.497116587,31315.2554439919,0.252346006306459
"Ages [0-2)","1986 Fall","Stratum_1"," [counts*km2/km2]",111427.963142326,28411.5464607834,0.254976808868827
"Ages [2-5)","1986 Fall","Stratum_1"," [counts*km2/km2]",88545.9076362008,20804.5531268142,0.234957816597146
"Ages [5+]","1986 Fall","Stratum_1"," [counts*km2/km2]",15592.3795828237,6821.14139434387,0.43746635066901
"Unknown Ages","1986 Fall","Stratum_1"," [counts*km2/km2]",53152.1050448345,20592.1250510474,0.387418805589688
"Ages [0-2)","1987 Spring","Stratum_1"," [counts*km2/km2]",27595.3907343954,6144.47523115166,0.222663099439033
"Ages [2-5)","1987 Spring","Stratum_1"," [counts*km2/km2]",267787.76728623,35058.7468887076,0.130919896916853
"Ages [5+]","1987 Spring","Stratum_1"," [counts*km2/km2]",50604.0015451775,8822.48426188003,0.174343609052411
"Unknown Ages","1987 Spring","Stratum_1"," [counts*km2/km2]",212802.978995445,87323.5240232673,0.410349161630565
"Ages [0-2)","1987 Fall","Stratum_1"," [counts*km2/km2]",224864.004012899,49518.8575181711,0.220216916155822
"Ages [2-5)","1987 Fall","Stratum_1"," [counts*km2/km2]",238362.081706793,47254.2647839747,0.198245729545616
"Ages [5+]","1987 Fall","Stratum_1"," [counts*km2/km2]",6018.98392693423,2847.03423867911,0.473009111378247
"Unknown Ages","1987 Fall","Stratum_1"," [counts*km2/km2]",701718.336797947,207184.175141088,0.295252616721551
"Ages [0-2)","1988 Spring","Stratum_1"," [counts*km2/km2]",136276.495472091,27987.1219787767,0.205370132845164
"Ages [2-5)","1988 Spring","Stratum_1"," [counts*km2/km2]",463008.064747905,52778.8885942511,0.113991294348161
"Ages [5+]","1988 Spring","Stratum_1"," [counts*km2/km2]",86521.9714510801,10472.7084901185,0.121041029399566
"Unknown Ages","1988 Spring","Stratum_1"," [counts*km2/km2]",320900.306114214,75194.9805427731,0.234325050833731
"Ages [0-2)","1988 Fall","Stratum_1"," [counts*km2/km2]",95946.4968388185,20599.1883665456,0.214694533362175
"Ages [2-5)","1988 Fall","Stratum_1"," [counts*km2/km2]",194608.136660923,35949.2447259378,0.184726318964629
"Ages [5+]","1988 Fall","Stratum_1"," [counts*km2/km2]",15211.9552894173,6079.22776405452,0.399634869311228
"Unknown Ages","1988 Fall","Stratum_1"," [counts*km2/km2]",137438.964619358,46193.7441855729,0.33610369747406
"Ages [0-2)","1989 Spring","Stratum_1"," [counts*km2/km2]",129887.536836694,28008.8790895387,0.215639466046339
"Ages [2-5)","1989 Spring","Stratum_1"," [counts*km2/km2]",505784.268377482,62413.3264821431,0.123399105872471
"Ages [5+]","1989 Spring","Stratum_1"," [counts*km2/km2]",57279.4105467159,9446.42681802282,0.164918366440215
"Unknown Ages","1989 Spring","Stratum_1"," [counts*km2/km2]",311301.952218901,68718.3763938383,0.220745086575997
"Ages [0-2)","1989 Fall","Stratum_1"," [counts*km2/km2]",94487.7791777365,23138.8428863028,0.24488714929766
"Ages [2-5)","1989 Fall","Stratum_1"," [counts*km2/km2]",303041.829428886,46004.2394508097,0.151808215841059
"Ages [5+]","1989 Fall","Stratum_1"," [counts*km2/km2]",34915.5394752136,5879.67431469998,0.168397063401352
"Unknown Ages","1989 Fall","Stratum_1"," [counts*km2/km2]",165801.027250197,48498.2526064906,0.292508758304048
"Ages [0-2)","1990 Spring","Stratum_1"," [counts*km2/km2]",58899.4794386491,12308.8068449374,0.208979891881023
"Ages [2-5)","1990 Spring","Stratum_1"," [counts*km2/km2]",385912.130497447,52629.2429971046,0.136376233960992
"Ages [5+]","1990 Spring","Stratum_1"," [counts*km2/km2]",100045.651483976,14232.4073140772,0.142259129736956
"Unknown Ages","1990 Spring","Stratum_1"," [counts*km2/km2]",290498.469536053,58429.6942929743,0.201135979773975
"Ages [0-2)","1990 Fall","Stratum_1"," [counts*km2/km2]",44097.6389512152,12685.2586955077,0.287662990518409
"Ages [2-5)","1990 Fall","Stratum_1"," [counts*km2/km2]",546525.985960815,75853.2045049331,0.1387915789065
"Ages [5+]","1990 Fall","Stratum_1"," [counts*km2/km2]",169984.006267616,22220.0105077342,0.130718242237166
"Unknown Ages","1990 Fall","Stratum_1"," [counts*km2/km2]",171196.787610052,48468.8315809035,0.283117646408791
"Ages [0-2)","1991 Spring","Stratum_1"," [counts*km2/km2]",100965.470737591,20236.7273860824,0.200432160007234
"Ages [2-5)","1991 Spring","Stratum_1"," [counts*km2/km2]",271611.093228362,43971.6730987573,0.161892036794636
"Ages [5+]","1991 Spring","Stratum_1"," [counts*km2/km2]",84855.9687357407,16501.5991762521,0.194465980674165
"Unknown Ages","1991 Spring","Stratum_1"," [counts*km2/km2]",110616.503008377,29442.9985540179,0.266171843741872
"Ages [0-2)","1991 Fall","Stratum_1"," [counts*km2/km2]",66108.2917400703,13549.6761008614,0.204961824669998
"Ages [2-5)","1991 Fall","Stratum_1"," [counts*km2/km2]",294324.252624935,36274.143913528,0.12324551439447
"Ages [5+]","1991 Fall","Stratum_1"," [counts*km2/km2]",115053.237991957,15021.7456269917,0.130563432104726
"Unknown Ages","1991 Fall","Stratum_1"," [counts*km2/km2]",145286.130289569,66935.6774413297,0.460716224652143
"Ages [0-2)","1992 Spring","Stratum_1"," [counts*km2/km2]",26692.5272288324,7361.60874020463,0.275792871806191
"Ages [2-5)","1992 Spring","Stratum_1"," [counts*km2/km2]",244440.604736419,36317.4899379345,0.148573883529276
