"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1982","Stratum_1"," [counts]",1600094.96501218,196375.587365222,0.122727457844183
"1","1983","Stratum_1"," [counts]",1298170.50181579,162388.62517583,0.125090367520054
"1","1984","Stratum_1"," [counts]",755468.62830098,87441.4631252192,0.115744664767713
"1","1985","Stratum_1"," [counts]",1040694.89173602,123383.139841612,0.118558417862311
"1","1986","Stratum_1"," [counts]",992950.16541359,124832.869662253,0.125719169008102
"1","1987","Stratum_1"," [counts]",2187771.62709863,301500.950412084,0.137811893470768
"1","1988","Stratum_1"," [counts]",1858135.8587018,179923.422878237,0.0968300687141061
"1","1989","Stratum_1"," [counts]",1824826.04856057,163582.453849353,0.0896427656643673
"1","1990","Stratum_1"," [counts]",2029890.25082846,186298.224236674,0.0917774860786874
"1","1991","Stratum_1"," [counts]",1248914.73831053,133440.957869662,0.106845530584558
"1","1992","Stratum_1"," [counts]",1021824.80724588,106944.909677198,0.104660709858325
"1","1993","Stratum_1"," [counts]",1417391.90201083,160666.576132417,0.113353671560056
"1","1994","Stratum_1"," [counts]",993186.144705699,118309.375768894,0.119121049361755
"1","1995","Stratum_1"," [counts]",780654.997831411,89805.0213237285,0.115038040585404
"1","1996","Stratum_1"," [counts]",949375.653684736,96706.2437726489,0.101862991111379
"1","1997","Stratum_1"," [counts]",708830.399716985,83721.4998105033,0.118112174426958
"1","1998","Stratum_1"," [counts]",848652.378978488,85597.2085281858,0.100862509371884
"1","1999","Stratum_1"," [counts]",1309769.40155853,152611.832528951,0.116518092686664
"1","2000","Stratum_1"," [counts]",1366957.14961592,154211.61050286,0.112813785381779
"1","2001","Stratum_1"," [counts]",1289096.24090963,140735.434837636,0.109173722156173
"1","2002","Stratum_1"," [counts]",1079712.18443958,114119.36220458,0.10569424319668
"1","2003","Stratum_1"," [counts]",5549651.13098516,506401.446094935,0.0912492396625716
"1","2004","Stratum_1"," [counts]",3150067.08834162,315680.467048831,0.100213886941381
"1","2005","Stratum_1"," [counts]",2449208.95062971,149309.695390948,0.0609624161926091
"1","2006","Stratum_1"," [counts]",3518557.63608936,434115.516107695,0.123378827635231
"1","2007","Stratum_1"," [counts]",1625166.48079473,102863.606325608,0.0632941963430767
"1","2008","Stratum_1"," [counts]",2388161.62860865,257533.725767672,0.107837644941023
"1","2009","Stratum_1"," [counts]",4010750.27574766,489374.861747103,0.122015789590858
"1","2010","Stratum_1"," [counts]",1461420.93031621,158177.746931109,0.108235583362615
"1","2011","Stratum_1"," [counts]",1463165.5298228,148979.804463049,0.101820198348366
"1","2012","Stratum_1"," [counts]",527533.398379998,53655.7947939758,0.101710706769936
"1","2013","Stratum_1"," [counts]",720467.76652152,81032.0914488611,0.112471501452579
"1","2014","Stratum_1"," [counts]",856745.128790226,75386.1590477591,0.0879913483187364
"1","2015","Stratum_1"," [counts]",841574.522103821,80015.2222177658,0.0950779997685045
"1","2016","Stratum_1"," [counts]",962503.516982533,79415.2407071341,0.0825090395057515
"1","2017","Stratum_1"," [counts]",1373486.32479518,109526.583510731,0.0797434830864134
"1","2018","Stratum_1"," [counts]",948842.081722686,92519.4653818182,0.0975077593669132
"1","2019","Stratum_1"," [counts]",1519150.48011988,160770.118559527,0.105828962083361
"1","2020","Stratum_1"," [counts]",1181752.31500625,212248.098000055,0.17960455444416
"1","2021","Stratum_1"," [counts]",1122492.13718634,112713.665466966,0.100413768375695
"1","2022","Stratum_1"," [counts]",1030181.18145966,166237.439025611,0.161367186682705
"1","1982","Stratum_2"," [counts]",89081.0340489601,33118.8953184224,0.371783911940447
"1","1983","Stratum_2"," [counts]",108349.549089035,43444.4565608074,0.400965734754534
"1","1984","Stratum_2"," [counts]",69663.2814175461,23447.8113568115,0.336587810388526
"1","1985","Stratum_2"," [counts]",110452.908327774,41676.5461809301,0.377324117688717
"1","1986","Stratum_2"," [counts]",100766.90513458,39801.851223019,0.394989318862788
"1","1987","Stratum_2"," [counts]",55947.4005205476,25232.8057003596,0.451009438608189
"1","1988","Stratum_2"," [counts]",129461.266402263,51054.9397319904,0.394364593756964
"1","1989","Stratum_2"," [counts]",96790.0874974208,38974.6809698317,0.402672236150941
"1","1990","Stratum_2"," [counts]",113374.591519576,43090.1897774873,0.380069195398574
"1","1991","Stratum_2"," [counts]",58979.8136801074,29338.8363908983,0.497438607555209
"1","1992","Stratum_2"," [counts]",50965.4168783221,21627.016284836,0.424346892648198
"1","1993","Stratum_2"," [counts]",71991.0839870137,34781.2386409166,0.483132586907438
"1","1994","Stratum_2"," [counts]",39093.7543320528,16739.9664867421,0.428200534145607
"1","1995","Stratum_2"," [counts]",23090.9246291373,11164.3837299696,0.483496607835348
"1","1996","Stratum_2"," [counts]",25754.2275647661,11440.345100168,0.444212317041857
"1","1997","Stratum_2"," [counts]",33549.5025031717,15937.9154996347,0.475056686701329
"1","1998","Stratum_2"," [counts]",29100.2111956061,12487.0917321522,0.429106567241604
"1","1999","Stratum_2"," [counts]",37994.7967448015,16782.1596279978,0.441696260167359
"1","2000","Stratum_2"," [counts]",99532.8150710383,22150.1901444016,0.222541582176618
"1","2001","Stratum_2"," [counts]",67635.0415430484,19554.3386213353,0.289115496571246
"1","2002","Stratum_2"," [counts]",61198.3919249304,15933.402756132,0.26035655929778
"1","2003","Stratum_2"," [counts]",135374.568419279,37949.3883245943,0.280328785293397
"1","2004","Stratum_2"," [counts]",87117.3845229284,18131.7768243823,0.208130408456079
"1","2005","Stratum_2"," [counts]",63210.0522726933,14810.0290221094,0.234298635891294
"1","2006","Stratum_2"," [counts]",67069.3799366437,18519.4239255659,0.276123380640466
"1","2007","Stratum_2"," [counts]",34628.6642610195,7860.73727392753,0.227000880388452
"1","2008","Stratum_2"," [counts]",28846.1716886971,10605.2616889057,0.367648844475997
"1","2009","Stratum_2"," [counts]",47852.212142387,13904.595045218,0.290573714833582
"1","2010","Stratum_2"," [counts]",24094.9875220269,8423.81789610163,0.349608726229919
"1","2011","Stratum_2"," [counts]",49536.122401566,14464.2714426714,0.291994422280702
"1","2012","Stratum_2"," [counts]",41031.197016978,11317.7862383794,0.275833684152482
"1","2013","Stratum_2"," [counts]",15381.7572685731,5957.77668326402,0.387327441152418
"1","2014","Stratum_2"," [counts]",63575.7158494473,15646.4226943954,0.246106905527379
"1","2015","Stratum_2"," [counts]",46276.5697001347,13435.7895036183,0.290336764169864
"1","2016","Stratum_2"," [counts]",43198.4996737785,11823.1974331359,0.273694631119622
"1","2017","Stratum_2"," [counts]",33118.3424526471,10201.9860803309,0.30804639739799
