"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1982","Stratum_1"," [counts]",2158625.51591465,295898.677408769,0.137077355579848
"1","1983","Stratum_1"," [counts]",1671975.080129,220875.582483989,0.132104590019935
"1","1984","Stratum_1"," [counts]",699950.374117097,93859.2824271681,0.134094195671455
"1","1985","Stratum_1"," [counts]",1261874.32131795,163209.416099818,0.129338883708606
"1","1986","Stratum_1"," [counts]",1174910.78903387,153332.623149914,0.130505758038022
"1","1987","Stratum_1"," [counts]",997725.404275382,135219.589409159,0.13552786050122
"1","1988","Stratum_1"," [counts]",2035196.81110525,206681.831677175,0.10155373207613
"1","1989","Stratum_1"," [counts]",1768770.92246483,204340.619252501,0.115526898739234
"1","1990","Stratum_1"," [counts]",1683251.44826486,194514.194190021,0.115558607949238
"1","1991","Stratum_1"," [counts]",1099023.93287245,151481.356062062,0.137832627235101
"1","1992","Stratum_1"," [counts]",976044.961011276,130642.264085333,0.13384861282412
"1","1993","Stratum_1"," [counts]",2160628.34123235,271675.532400306,0.125739132092177
"1","1994","Stratum_1"," [counts]",689986.990988028,112261.935257327,0.162701524410735
"1","1995","Stratum_1"," [counts]",805223.864082971,114623.918892915,0.142350374853153
"1","1996","Stratum_1"," [counts]",828397.495193699,122136.977182053,0.147437646649929
"1","1997","Stratum_1"," [counts]",853654.04970689,118763.922673102,0.139124183518935
"1","1998","Stratum_1"," [counts]",1164460.97868186,140292.174717241,0.120478210335608
"1","1999","Stratum_1"," [counts]",2003555.33976336,370921.250497066,0.185131522516805
"1","2000","Stratum_1"," [counts]",1233044.4454433,190274.716979976,0.154312942800346
"1","2001","Stratum_1"," [counts]",1073262.38288019,156364.593245456,0.145690928648629
"1","2002","Stratum_1"," [counts]",934185.965689334,130152.212225468,0.139321523771156
"1","2003","Stratum_1"," [counts]",8012285.29163214,1240756.29141279,0.154856728917104
"1","2004","Stratum_1"," [counts]",2286681.93948729,193335.751386765,0.0845485977075188
"1","2005","Stratum_1"," [counts]",2614631.00922683,213667.394892222,0.0817199039322223
"1","2006","Stratum_1"," [counts]",6836910.00419287,1239929.28440463,0.181358140394449
"1","2007","Stratum_1"," [counts]",2167909.80870448,267096.313680562,0.12320453212958
"1","2008","Stratum_1"," [counts]",4225376.11419675,512323.561209516,0.12124922074704
"1","2009","Stratum_1"," [counts]",5708226.21762978,729869.223045179,0.127862701164677
"1","2010","Stratum_1"," [counts]",1717918.2243943,211831.055535328,0.123306832960581
"1","2011","Stratum_1"," [counts]",2086074.59553982,290978.334396309,0.139486063930046
"1","2012","Stratum_1"," [counts]",714778.593207245,92395.1859692414,0.129264064211356
"1","2013","Stratum_1"," [counts]",854698.120402897,110559.686133497,0.129355246600263
"1","2014","Stratum_1"," [counts]",1181607.84964875,121455.353004632,0.102788207644975
"1","2015","Stratum_1"," [counts]",954789.961508884,97262.0899999849,0.101867524713266
"1","2016","Stratum_1"," [counts]",865459.374936367,100538.180422598,0.11616741736721
"1","2017","Stratum_1"," [counts]",1772871.9769612,155638.494895592,0.087788908008104
"1","2018","Stratum_1"," [counts]",1438131.10038607,165871.551685629,0.115338268980554
"1","2019","Stratum_1"," [counts]",2966975.63583382,440748.383619997,0.148551399713847
"1","2020","Stratum_1"," [counts]",1320499.14306469,299446.848750056,0.226767923570981
"1","2021","Stratum_1"," [counts]",1453705.28158609,149106.548295909,0.102569998324024
"1","2022","Stratum_1"," [counts]",713004.080685174,119101.290573207,0.167041527250101
