"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1982","Stratum_1"," [counts*km^2]",805849.323475953,104633.400816608,0.129842388357766
"1","1983","Stratum_1"," [counts*km^2]",629891.190114751,78485.9427301242,0.124602382065109
"1","1984","Stratum_1"," [counts*km^2]",359996.778259091,41107.9224549163,0.11418969540147
"1","1985","Stratum_1"," [counts*km^2]",498076.564043688,57960.8104506692,0.116369278610719
"1","1986","Stratum_1"," [counts*km^2]",484227.273023124,60589.392977048,0.12512594055014
"1","1987","Stratum_1"," [counts*km^2]",881402.726974412,104031.109934327,0.118029031168799
"1","1988","Stratum_1"," [counts*km^2]",848953.603399039,76894.7160169743,0.0905758756533966
"1","1989","Stratum_1"," [counts*km^2]",893805.608408771,81041.5595719158,0.0906702294206823
"1","1990","Stratum_1"," [counts*km^2]",964143.564328193,86356.0063133521,0.0895675805018979
"1","1991","Stratum_1"," [counts*km^2]",610113.585496716,61428.0928824999,0.100683043850743
"1","1992","Stratum_1"," [counts*km^2]",469960.265095435,46047.2225538501,0.0979810974966133
"1","1993","Stratum_1"," [counts*km^2]",683578.671396054,72424.1542959342,0.105948528423253
"1","1994","Stratum_1"," [counts*km^2]",492087.569452375,59451.0857507927,0.120814036853143
"1","1995","Stratum_1"," [counts*km^2]",358011.819208038,38022.8175870172,0.106205481347314
"1","1996","Stratum_1"," [counts*km^2]",437539.949857187,44074.1818326062,0.100731788827493
"1","1997","Stratum_1"," [counts*km^2]",360740.557420998,43499.9008070104,0.120585001913839
"1","1998","Stratum_1"," [counts*km^2]",421687.705175871,42149.2829825711,0.0999537868076852
"1","1999","Stratum_1"," [counts*km^2]",613842.179245484,69377.0293498974,0.113020955052606
"1","2000","Stratum_1"," [counts*km^2]",769671.411590446,109996.432115036,0.142913495887473
"1","2001","Stratum_1"," [counts*km^2]",626303.64476105,65517.8529528224,0.104610365117417
"1","2002","Stratum_1"," [counts*km^2]",527800.715397649,53512.8808425314,0.101388420442391
"1","2003","Stratum_1"," [counts*km^2]",2339370.9942384,201763.653398601,0.0862469671956785
"1","2004","Stratum_1"," [counts*km^2]",1683364.28232036,155750.488030771,0.0925233413032164
"1","2005","Stratum_1"," [counts*km^2]",1331860.90502545,81350.3185021536,0.0610801910283559
"1","2006","Stratum_1"," [counts*km^2]",1664953.10464008,182122.337202808,0.10938586600142
"1","2007","Stratum_1"," [counts*km^2]",843318.707982333,51680.4501015246,0.061282228903912
"1","2008","Stratum_1"," [counts*km^2]",1140449.52593978,131218.433505078,0.115058519049274
"1","2009","Stratum_1"," [counts*km^2]",1777297.90807035,205583.937080004,0.115672187620595
"1","2010","Stratum_1"," [counts*km^2]",734068.532410836,79781.5748382308,0.108684095987893
"1","2011","Stratum_1"," [counts*km^2]",664852.05724167,63343.0110680744,0.0952738438245511
"1","2012","Stratum_1"," [counts*km^2]",254549.859965083,26395.2973096441,0.103694016226388
"1","2013","Stratum_1"," [counts*km^2]",347992.68974202,38940.7056342765,0.111900930054435
"1","2014","Stratum_1"," [counts*km^2]",414962.121067052,36483.4671864392,0.0879199939807135
"1","2015","Stratum_1"," [counts*km^2]",402836.338388574,35401.8322760729,0.0878814270273813
"1","2016","Stratum_1"," [counts*km^2]",485954.329457489,37808.7728254506,0.0778031401997379
"1","2017","Stratum_1"," [counts*km^2]",717480.916300458,54994.3142793979,0.0766491665910291
"1","2018","Stratum_1"," [counts*km^2]",465003.152179091,42323.9062891917,0.0910185363063758
"1","2019","Stratum_1"," [counts*km^2]",775557.454480892,91388.4119476732,0.117835772733102
"1","2020","Stratum_1"," [counts*km^2]",560432.635812208,102436.899463773,0.182781824108649
"1","2021","Stratum_1"," [counts*km^2]",553020.508963412,55144.3339710716,0.0997148081803236
"1","2022","Stratum_1"," [counts*km^2]",518243.338110494,86812.1194126291,0.16751227276581
"1","1982","Stratum_2"," [counts*km^2]",805849.323475953,104633.400816608,0.129842388357766
"1","1983","Stratum_2"," [counts*km^2]",629891.190114751,78485.9427301242,0.124602382065109
"1","1984","Stratum_2"," [counts*km^2]",359996.778259091,41107.9224549163,0.11418969540147
"1","1985","Stratum_2"," [counts*km^2]",498076.564043688,57960.8104506692,0.116369278610719
"1","1986","Stratum_2"," [counts*km^2]",484227.273023124,60589.392977048,0.12512594055014
"1","1987","Stratum_2"," [counts*km^2]",881402.726974412,104031.109934327,0.118029031168799
"1","1988","Stratum_2"," [counts*km^2]",848953.603399039,76894.7160169743,0.0905758756533966
"1","1989","Stratum_2"," [counts*km^2]",893805.608408771,81041.5595719158,0.0906702294206823
"1","1990","Stratum_2"," [counts*km^2]",964143.564328193,86356.0063133521,0.0895675805018979
"1","1991","Stratum_2"," [counts*km^2]",610113.585496716,61428.0928824999,0.100683043850743
"1","1992","Stratum_2"," [counts*km^2]",469960.265095435,46047.2225538501,0.0979810974966133
