"","Time","Category","Index_Region","Index_Estimate","Index_SD","Date","Year"
"1",1982,1,"EGOM",2442.48564414332,40290.5804508022,1982-05-24,1982
"2",1982,1,"GBK",6457.91230801229,112062.389020356,1982-05-09,1982
"3",1982,1,"SNE",12364.5751945643,199006.349133168,1982-06-16,1982
"4",1982,1,"WGOM",8427.15552429818,133160.412222231,1982-05-10,1982
"5",1983,1,"EGOM",2306.39302182282,38037.509824184,1983-06-21,1983
"6",1983,1,"GBK",6098.08451421515,105797.977668004,1983-07-06,1983
"7",1983,1,"SNE",11675.6346203823,187875.784776502,1983-06-21,1983
"8",1983,1,"WGOM",7957.60365743072,125711.599520664,1983-06-18,1983
"9",1984,1,"EGOM",2149.36159028295,35442.1670911801,1984-06-25,1984
"10",1984,1,"GBK",5682.89467802607,98580.7480677519,1984-06-06,1984
"11",1984,1,"SNE",10880.6956827306,175055.422759511,1984-06-05,1984
"12",1984,1,"WGOM",7415.80792611794,117132.505713959,1984-06-26,1984
"13",1985,1,"EGOM",2065.14343206571,34056.3401236947,1985-07-15,1985
"14",1985,1,"GBK",5460.22254817615,94725.3572194027,1985-06-18,1985
"15",1985,1,"SNE",10454.3587859215,168211.289494454,1985-05-05,1985
"16",1985,1,"WGOM",7125.23527977773,112553.359559312,1985-06-14,1985
"17",1986,1,"EGOM",1867.77900718405,30803.8845948035,1986-05-17,1986
"18",1986,1,"GBK",4938.39260347892,85678.2637956086,1986-05-26,1986
"19",1986,1,"SNE",9455.24246438543,152147.310639752,1986-05-03,1986
"20",1986,1,"WGOM",6444.28114298288,101804.944956562,1986-05-15,1986
"21",1987,1,"EGOM",1780.19980247182,29361.191886269,1987-06-25,1987
"22",1987,1,"GBK",4706.83389385328,81665.0905658778,1987-06-27,1987
"23",1987,1,"SNE",9011.89096926364,145021.947109679,1987-05-09,1987
"24",1987,1,"WGOM",6142.11208803922,97037.4348631033,1987-07-06,1987
"25",1988,1,"EGOM",1913.14545712292,31554.5993553359,1988-05-20,1988
"26",1988,1,"GBK",5058.34113055977,87765.6346985401,1988-06-05,1988
"27",1988,1,"SNE",9684.90067462906,155855.887503268,1988-06-13,1988
"28",1988,1,"WGOM",6600.8061690918,104286.759395718,1988-05-14,1988
"29",1989,1,"EGOM",2097.95478342849,34604.8579053917,1989-07-04,1989
"30",1989,1,"GBK",5546.97549606606,96249.0312270003,1989-07-08,1989
"31",1989,1,"SNE",10620.4594228417,170922.382320367,1989-06-23,1989
"32",1989,1,"WGOM",7238.44223416029,114368.370168791,1989-07-16,1989
"33",1990,1,"EGOM",2112.13924601728,34840.8643390469,1990-07-26,1990
"34",1990,1,"GBK",5584.47910054139,96904.9066243805,1990-06-05,1990
"35",1990,1,"SNE",10692.2653123436,172088.587572234,1990-05-07,1990
"36",1990,1,"WGOM",7287.38199867881,115148.972368664,1990-07-30,1990
"37",1991,1,"EGOM",1965.6864877413,32424.7566788496,1991-05-16,1991
"38",1991,1,"GBK",5197.25919098712,90184.9249933691,1991-07-14,1991
"39",1991,1,"SNE",9950.87870624554,160154.696432029,1991-05-07,1991
"40",1991,1,"WGOM",6782.08520239529,107163.655938597,1991-05-29,1991
"41",1992,1,"EGOM",1721.95893146271,28404.1966719477,1992-05-08,1992
"42",1992,1,"GBK",4552.84550148708,79002.3479709526,1992-07-21,1992
"43",1992,1,"SNE",8717.05868203368,140296.011679578,1992-05-31,1992
"44",1992,1,"WGOM",5941.16725176502,93875.6721325634,1992-07-09,1992
"45",1993,1,"EGOM",1609.21146891005,26545.2123452339,1993-06-07,1993
"46",1993,1,"GBK",4254.74212148899,73831.6210990888,1993-05-04,1993
"47",1993,1,"SNE",8146.29812011539,131114.188628792,1993-05-11,1993
"48",1993,1,"WGOM",5552.16173020569,87731.9843533158,1993-07-12,1993
"49",1994,1,"EGOM",1494.60445213237,24656.1240278438,1994-05-07,1994
"50",1994,1,"GBK",3951.72209514499,68577.0114528406,1994-05-31,1994
