"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1982","Stratum_1"," [counts*km^2]",898918.65596308,116855.903790597,0.129996082532519
"1","1983","Stratum_1"," [counts*km^2]",705290.941839053,85967.479705438,0.121889385792021
"1","1984","Stratum_1"," [counts*km^2]",374114.564442479,43950.0144168567,0.117477421608413
"1","1985","Stratum_1"," [counts*km^2]",487262.626875733,59820.4390377893,0.122768371178702
"1","1986","Stratum_1"," [counts*km^2]",515818.306836439,64206.8326468209,0.124475676407469
"1","1987","Stratum_1"," [counts*km^2]",1324822.63517311,160088.400908877,0.120837610000495
"1","1988","Stratum_1"," [counts*km^2]",888318.333021278,76891.3209080704,0.086558295657992
"1","1989","Stratum_1"," [counts*km^2]",952836.525144629,82389.1799435374,0.0864672771974518
"1","1990","Stratum_1"," [counts*km^2]",1055050.14882026,97963.4639843318,0.0928519503019576
"1","1991","Stratum_1"," [counts*km^2]",640250.660458224,61263.3591309052,0.0956865223490115
"1","1992","Stratum_1"," [counts*km^2]",521437.378819049,52822.0935712743,0.101300934142669
"1","1993","Stratum_1"," [counts*km^2]",791969.515936869,82176.0479715474,0.103761630110644
"1","1994","Stratum_1"," [counts*km^2]",529459.257252956,58865.5526468632,0.111180514535303
"1","1995","Stratum_1"," [counts*km^2]",359681.574282949,37621.9310913709,0.104597882630971
"1","1996","Stratum_1"," [counts*km^2]",483832.173095694,48875.9863991412,0.101018471108316
"1","1997","Stratum_1"," [counts*km^2]",426332.926761537,54137.3916425385,0.12698383878949
"1","1998","Stratum_1"," [counts*km^2]",484423.465375109,48062.0991714377,0.0992150517197205
"1","1999","Stratum_1"," [counts*km^2]",707816.310419389,73598.5042376995,0.103979666976156
"1","2000","Stratum_1"," [counts*km^2]",828499.938121957,89796.0825561449,0.108383933932083
"1","2001","Stratum_1"," [counts*km^2]",623462.670193232,59211.694878474,0.0949723178456255
"1","2002","Stratum_1"," [counts*km^2]",643290.976431756,71022.4448070257,0.110404851628694
"1","2003","Stratum_1"," [counts*km^2]",2913353.27506677,259535.232196796,0.0890847101921919
"1","2004","Stratum_1"," [counts*km^2]",2242683.88403034,212741.864133473,0.0948603883268441
"1","2005","Stratum_1"," [counts*km^2]",1433432.83049988,78062.9483654458,0.0544587417732179
"1","2006","Stratum_1"," [counts*km^2]",1959718.7832478,158687.779507473,0.0809747709028346
"1","2007","Stratum_1"," [counts*km^2]",980144.286027001,64228.5002458407,0.0655296379946159
"1","2008","Stratum_1"," [counts*km^2]",1488591.35273469,171033.859750875,0.114896448536174
"1","2009","Stratum_1"," [counts*km^2]",1796737.59673202,193459.406451823,0.107672598827839
"1","2010","Stratum_1"," [counts*km^2]",728019.618922682,78970.2423429919,0.108472684376077
"1","2011","Stratum_1"," [counts*km^2]",634176.890382487,52204.1477928882,0.0823179598383074
"1","2012","Stratum_1"," [counts*km^2]",243807.537609402,25837.2178758546,0.105973827262256
"1","2013","Stratum_1"," [counts*km^2]",405679.093517922,50744.7208186258,0.12508586621653
"1","2014","Stratum_1"," [counts*km^2]",456428.120319048,40912.8744001549,0.0896370591092337
"1","2015","Stratum_1"," [counts*km^2]",448692.207732655,41269.2591587169,0.0919767681441583
"1","2016","Stratum_1"," [counts*km^2]",575470.037193026,47091.6536168451,0.0818316342698647
"1","2017","Stratum_1"," [counts*km^2]",829172.6684681,61931.3691406047,0.0746905578243711
"1","2018","Stratum_1"," [counts*km^2]",585342.186633674,54072.006710594,0.0923767463636342
"1","2019","Stratum_1"," [counts*km^2]",864453.807829674,84544.0006902575,0.0978004838714475
"1","2020","Stratum_1"," [counts*km^2]",743164.20818691,127681.549348158,0.171807990672292
"1","2021","Stratum_1"," [counts*km^2]",646370.21627371,61714.8863296158,0.0954791615947264
"1","2022","Stratum_1"," [counts*km^2]",861943.674955804,139024.525327095,0.161291891067271
"1","1982","Stratum_2"," [counts*km^2]",898918.65596308,116855.903790597,0.129996082532519
"1","1983","Stratum_2"," [counts*km^2]",705290.941839053,85967.479705438,0.121889385792021
"1","1984","Stratum_2"," [counts*km^2]",374114.564442479,43950.0144168567,0.117477421608413
"1","1985","Stratum_2"," [counts*km^2]",487262.626875733,59820.4390377893,0.122768371178702
"1","1986","Stratum_2"," [counts*km^2]",515818.306836439,64206.8326468209,0.124475676407469
"1","1987","Stratum_2"," [counts*km^2]",1324822.63517311,160088.400908877,0.120837610000495
