"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1982","Stratum_1"," [counts]",1590337.38600597,193859.789428632,0.121898529918545
"1","1983","Stratum_1"," [counts]",1278212.05346141,157295.54435355,0.123059036978714
"1","1984","Stratum_1"," [counts]",721510.418543717,81270.585843957,0.112639518093161
"1","1985","Stratum_1"," [counts]",1011429.90842162,119421.154690274,0.118071607034677
"1","1986","Stratum_1"," [counts]",961837.683949819,118773.475727651,0.12348598699097
"1","1987","Stratum_1"," [counts]",1750230.72138867,199784.153947163,0.114147324410263
"1","1988","Stratum_1"," [counts]",1781561.31505453,163973.70286423,0.0920393261116641
"1","1989","Stratum_1"," [counts]",1750850.55613544,158669.650331503,0.0906243252889163
"1","1990","Stratum_1"," [counts]",1907676.02254064,170690.442280202,0.0894755924294111
"1","1991","Stratum_1"," [counts]",1244046.08104768,127938.488777585,0.102840634866067
"1","1992","Stratum_1"," [counts]",989000.92548119,100618.013516099,0.101737026653584
"1","1993","Stratum_1"," [counts]",1397697.83393303,155902.069458938,0.111542041258118
"1","1994","Stratum_1"," [counts]",946328.187478621,109499.95621344,0.115710339882391
"1","1995","Stratum_1"," [counts]",738180.004913858,80870.3646009978,0.109553718690112
"1","1996","Stratum_1"," [counts]",934603.832287837,96423.2725551817,0.103170208835061
"1","1997","Stratum_1"," [counts]",698349.993590871,82789.9751128827,0.118550835358618
"1","1998","Stratum_1"," [counts]",818261.928637576,81870.5796044523,0.100054245149553
"1","1999","Stratum_1"," [counts]",1340057.24658174,158631.328090768,0.118376530924638
"1","2000","Stratum_1"," [counts]",1387211.19165614,158290.15403468,0.114106745235889
"1","2001","Stratum_1"," [counts]",1236670.97586552,132496.057386118,0.107139295715569
"1","2002","Stratum_1"," [counts]",1034808.94274064,107592.996145981,0.103973778832085
"1","2003","Stratum_1"," [counts]",5351054.5437432,534991.912298148,0.0999787813644501
"1","2004","Stratum_1"," [counts]",3258820.55582031,299968.616814171,0.0920482155049689
"1","2005","Stratum_1"," [counts]",2552229.28521802,158222.487381178,0.0619938374258019
"1","2006","Stratum_1"," [counts]",3644107.98394216,450683.59946744,0.123674600602778
"1","2007","Stratum_1"," [counts]",1695113.13834383,106551.793127688,0.0628582191462403
"1","2008","Stratum_1"," [counts]",2356646.86778182,261783.498918553,0.111083040271094
"1","2009","Stratum_1"," [counts]",3760617.52557596,442782.896462813,0.117742071202786
"1","2010","Stratum_1"," [counts]",1474561.0396995,160833.081008266,0.109071836755596
"1","2011","Stratum_1"," [counts]",1450681.9342789,148967.589548508,0.10268797455078
"1","2012","Stratum_1"," [counts]",524500.476311007,54387.9299125821,0.103694719774348
"1","2013","Stratum_1"," [counts]",693393.478371686,76803.4183310412,0.110764552489593
"1","2014","Stratum_1"," [counts]",841724.380321305,74680.9793797097,0.088723792640057
"1","2015","Stratum_1"," [counts]",799850.517244677,71588.3326888569,0.0895021396441206
"1","2016","Stratum_1"," [counts]",942177.455041708,75698.7649373561,0.0803444876888968
"1","2017","Stratum_1"," [counts]",1367286.51085381,106315.398118969,0.077756488691299
"1","2018","Stratum_1"," [counts]",981892.119629802,99044.212097067,0.10087076789496
"1","2019","Stratum_1"," [counts]",1502257.78926228,157442.33574,0.104803807219609
"1","2020","Stratum_1"," [counts]",1134772.1021511,208731.660341781,0.183941480360774
"1","2021","Stratum_1"," [counts]",1126793.68312214,116564.799989959,0.10344821925783
"1","2022","Stratum_1"," [counts]",999173.674946867,160737.518780068,0.160870450063271
"1","1982","Stratum_2"," [counts]",87196.0961812222,32550.8578860361,0.37330636704635
"1","1983","Stratum_2"," [counts]",97616.7516317403,37412.1119957895,0.383255039431416
"1","1984","Stratum_2"," [counts]",70333.3325884876,25054.1629893479,0.356220330635219
"1","1985","Stratum_2"," [counts]",95692.3114807981,31134.7011391069,0.325362619601413
"1","1986","Stratum_2"," [counts]",87618.3592256785,32465.0199369357,0.370527595173468
"1","1987","Stratum_2"," [counts]",52833.5070476145,22933.9831782528,0.434080273292937
"1","1988","Stratum_2"," [counts]",109559.563956297,39349.5128338214,0.359160911315034
"1","1989","Stratum_2"," [counts]",93970.2529431143,35775.8380081082,0.380714501532367
"1","1990","Stratum_2"," [counts]",100722.19907455,36772.4048793878,0.365087391034527
"1","1991","Stratum_2"," [counts]",55863.8134245206,24802.8004077992,0.443986883231863
"1","1992","Stratum_2"," [counts]",45336.0836560152,19026.0404229248,0.419666607448578
"1","1993","Stratum_2"," [counts]",63454.7757525207,28009.2113031807,0.44140430678408
"1","1994","Stratum_2"," [counts]",33580.2252925034,13966.2590906824,0.415907248061267
"1","1995","Stratum_2"," [counts]",21930.2645071798,10456.099217753,0.476788559222791
"1","1996","Stratum_2"," [counts]",29427.9519060654,13541.5626635375,0.460159874759969
"1","1997","Stratum_2"," [counts]",28954.5351106998,13167.6796525848,0.454770888299252
"1","1998","Stratum_2"," [counts]",26620.4225324072,11418.3986534242,0.428933787190029
"1","1999","Stratum_2"," [counts]",34386.5992294824,14023.9401518611,0.407831552584509
"1","2000","Stratum_2"," [counts]",99163.0784752969,22467.9353063559,0.226575613139653
"1","2001","Stratum_2"," [counts]",63030.9670229341,17136.2166350717,0.271869803755931
"1","2002","Stratum_2"," [counts]",54935.3207033142,12760.9996749012,0.232291347561595
"1","2003","Stratum_2"," [counts]",128626.400876018,33840.2698421669,0.263089611554826
"1","2004","Stratum_2"," [counts]",92747.1710646842,20174.2454951665,0.21751871527269
"1","2005","Stratum_2"," [counts]",66692.3643619511,16371.6327879805,0.245479867817083
"1","2006","Stratum_2"," [counts]",61345.873028751,15783.2032708304,0.257282234184414
"1","2007","Stratum_2"," [counts]",37630.1291057132,9401.19306808442,0.2498315390222
"1","2008","Stratum_2"," [counts]",30151.2341335733,9907.87001897046,0.328605786916632
"1","2009","Stratum_2"," [counts]",50081.2701280258,15647.6868465524,0.312445886586966
"1","2010","Stratum_2"," [counts]",25462.018037966,8577.56430956541,0.336876845220027
"1","2011","Stratum_2"," [counts]",49423.1837328379,14477.3882630381,0.292927067209938
"1","2012","Stratum_2"," [counts]",38045.4330272866,9542.9921350967,0.25083147636281
"1","2013","Stratum_2"," [counts]",15268.8851253176,5887.69584094072,0.385600899647756
"1","2014","Stratum_2"," [counts]",66825.707511468,16766.609602735,0.250900592408358
"1","2015","Stratum_2"," [counts]",45714.2177375957,12978.8100404647,0.283911891809335
"1","2016","Stratum_2"," [counts]",42722.6476686399,11570.5815911198,0.270830162045718
"1","2017","Stratum_2"," [counts]",34667.845918587,11221.5298193695,0.323686964737349
"1","2018","Stratum_2"," [counts]",35563.0835850684,11058.9637567954,0.310967515804471
"1","2019","Stratum_2"," [counts]",25581.9566929793,7866.85934456514,0.307515935507941
"1","2020","Stratum_2"," [counts]",25027.8776416612,10939.0733997231,0.437075550565824
"1","2021","Stratum_2"," [counts]",15820.5855793263,5738.48067756736,0.362722394110757
"1","2022","Stratum_2"," [counts]",21215.7070639452,12035.8284149335,0.567307437770371
"1","1982","Stratum_3"," [counts]",691588.245813425,151078.868951936,0.218452048406695
"1","1983","Stratum_3"," [counts]",339419.602308607,78716.0414029186,0.23191365751277
"1","1984","Stratum_3"," [counts]",204810.555714672,40859.6279968629,0.199499619803707
"1","1985","Stratum_3"," [counts]",418106.772180229,79159.8830275057,0.1893293490912
"1","1986","Stratum_3"," [counts]",408535.111724448,84490.663128334,0.206813712465727
"1","1987","Stratum_3"," [counts]",300126.996325511,51332.316404829,0.171035318492825
"1","1988","Stratum_3"," [counts]",647122.954163946,80800.3127524318,0.12486083553754
"1","1989","Stratum_3"," [counts]",601219.494384411,67352.2131484992,0.112025996790841
"1","1990","Stratum_3"," [counts]",809709.51862577,95562.4323207642,0.118020635947261
"1","1991","Stratum_3"," [counts]",640171.827218537,79258.2279733961,0.12380774130246
"1","1992","Stratum_3"," [counts]",450042.097249933,62450.7719310169,0.138766511649986
"1","1993","Stratum_3"," [counts]",354936.811927684,49745.1533664855,0.140152138901333
"1","1994","Stratum_3"," [counts]",258612.573719966,43800.1896115148,0.169366048144832
"1","1995","Stratum_3"," [counts]",229656.177846591,32415.5995833654,0.141148389245679
"1","1996","Stratum_3"," [counts]",457378.235124384,63186.8077689987,0.138150010027947
"1","1997","Stratum_3"," [counts]",349740.210686361,61060.1044741542,0.174587029482039
"1","1998","Stratum_3"," [counts]",258514.301882984,38938.4148559792,0.150623832307756
"1","1999","Stratum_3"," [counts]",293981.236273611,48985.4200884006,0.166627709677393
"1","2000","Stratum_3"," [counts]",621044.115758461,111298.115704454,0.179211287701404
"1","2001","Stratum_3"," [counts]",347094.310940237,59077.3595427571,0.170205496548542
"1","2002","Stratum_3"," [counts]",434513.64273832,66225.0073353462,0.152411802119708
"1","2003","Stratum_3"," [counts]",256917.883050015,38568.5500096899,0.150120145596021
"1","2004","Stratum_3"," [counts]",345750.250228432,54234.8634378623,0.156861385934009
"1","2005","Stratum_3"," [counts]",517425.558306302,78296.643636372,0.151319629228719
"1","2006","Stratum_3"," [counts]",333827.478625817,47828.9077894762,0.143274328363744
"1","2007","Stratum_3"," [counts]",359694.376618583,50638.6908721459,0.140782548084822
"1","2008","Stratum_3"," [counts]",260187.394518263,39930.3805228177,0.153467775011732
"1","2009","Stratum_3"," [counts]",519818.815165714,101839.688646966,0.195913817806884
"1","2010","Stratum_3"," [counts]",563742.273221439,91457.604227653,0.162233007124034
"1","2011","Stratum_3"," [counts]",335326.114747801,46868.2924856204,0.139769288535343
"1","2012","Stratum_3"," [counts]",187608.460992397,28045.0939192175,0.149487361981794
"1","2013","Stratum_3"," [counts]",428774.633470651,63112.8079620002,0.147193427584891
"1","2014","Stratum_3"," [counts]",236411.447072228,38369.0167052095,0.162297626364459
"1","2015","Stratum_3"," [counts]",263072.144693411,43503.2523105239,0.165366243397693
"1","2016","Stratum_3"," [counts]",308374.009577854,46758.4722257407,0.151629095752105
"1","2017","Stratum_3"," [counts]",461085.349788664,72388.8313739187,0.156996598150642
"1","2018","Stratum_3"," [counts]",314789.296268069,61590.2762398284,0.195655560624206
"1","2019","Stratum_3"," [counts]",286550.218893872,52579.4028020749,0.183491057885209
"1","2020","Stratum_3"," [counts]",249082.606958373,58677.7330707818,0.235575393189088
"1","2021","Stratum_3"," [counts]",203156.920079177,37947.0812719377,0.186787047456462
"1","2022","Stratum_3"," [counts]",181658.847959567,60488.0109931882,0.332975859269191
"1","1982","Stratum_4"," [counts]",124867.975620362,27913.6024436916,0.223544926591568
"1","1983","Stratum_4"," [counts]",89842.1983040472,25376.0483411914,0.282451329333159
"1","1984","Stratum_4"," [counts]",40948.3469125802,9909.25502285045,0.241994018562104
"1","1985","Stratum_4"," [counts]",122457.271622439,33746.7488448689,0.275579787118866
"1","1986","Stratum_4"," [counts]",70921.7948503445,15422.7232172797,0.217460982901294
"1","1987","Stratum_4"," [counts]",24676.8602075864,7087.81445456582,0.287225132976473
"1","1988","Stratum_4"," [counts]",41401.5966220742,9720.81625079377,0.234793269919712
"1","1989","Stratum_4"," [counts]",55016.8859755953,14138.5679003916,0.256985971664468
"1","1990","Stratum_4"," [counts]",45614.8361191141,13958.2680210802,0.306002809801417
"1","1991","Stratum_4"," [counts]",23933.2910734578,7763.63146031727,0.324386288391702
"1","1992","Stratum_4"," [counts]",24067.7304592768,6539.14994381801,0.271697821898179
"1","1993","Stratum_4"," [counts]",74341.3734131169,18347.2776277131,0.246797668449799
"1","1994","Stratum_4"," [counts]",26035.2837721676,6171.77171606639,0.237054136612258
"1","1995","Stratum_4"," [counts]",29784.45499116,7012.46822423026,0.235440541930733
"1","1996","Stratum_4"," [counts]",51639.9411501077,12859.4853643759,0.249022076283854
"1","1997","Stratum_4"," [counts]",18832.2147700588,5083.5049870453,0.269936651058564
"1","1998","Stratum_4"," [counts]",130741.671579062,27886.041478915,0.21329114996095
"1","1999","Stratum_4"," [counts]",48921.5103258679,14660.9603915999,0.29968331504777
"1","2000","Stratum_4"," [counts]",22897.2315874151,6918.01907300693,0.302133428078235
"1","2001","Stratum_4"," [counts]",56906.7182954674,12672.6103427138,0.222690935662743
"1","2002","Stratum_4"," [counts]",17497.1324776433,5450.98800988,0.311536076945462
"1","2003","Stratum_4"," [counts]",722970.109886132,178516.633968194,0.24692118184016
"1","2004","Stratum_4"," [counts]",152283.648167843,26417.0780407454,0.173472847272673
"1","2005","Stratum_4"," [counts]",303320.447406002,56594.1202371733,0.186581948962449
"1","2006","Stratum_4"," [counts]",69758.4294140013,17209.258135812,0.24669790131998
"1","2007","Stratum_4"," [counts]",33162.863445975,7574.49627188032,0.228402962977542
"1","2008","Stratum_4"," [counts]",312715.2371899,73161.0346541478,0.233954172849337
"1","2009","Stratum_4"," [counts]",462364.513591158,92586.1332726648,0.200244894560687
"1","2010","Stratum_4"," [counts]",226148.393029116,54924.6070018446,0.242869764698144
"1","2011","Stratum_4"," [counts]",184787.352067302,35548.9925987258,0.192377845134003
"1","2012","Stratum_4"," [counts]",10272.4061258632,3576.71145352672,0.348186336258796
"1","2013","Stratum_4"," [counts]",50545.8905343319,12515.4046258772,0.24760479029203
"1","2014","Stratum_4"," [counts]",155974.075813961,28753.1353243504,0.184345604705784
"1","2015","Stratum_4"," [counts]",77232.2750212812,17853.9075202058,0.231171586170241
"1","2016","Stratum_4"," [counts]",35354.220377319,10330.7384801353,0.292206655100302
"1","2017","Stratum_4"," [counts]",97669.1611055015,19329.1408621478,0.197904237564493
"1","2018","Stratum_4"," [counts]",142382.251425748,27677.3033775308,0.194387313730354
"1","2019","Stratum_4"," [counts]",96702.7577070187,28583.4686676568,0.295580698476629
"1","2020","Stratum_4"," [counts]",66949.8898188945,33091.9119492299,0.494278811193658
"1","2021","Stratum_4"," [counts]",135619.681716176,30978.8549467714,0.228424477588761
"1","2022","Stratum_4"," [counts]",40190.440301658,20396.6194027457,0.507499277182694
"1","1982","Stratum_5"," [counts]",686685.068390977,91557.7837707081,0.1333330051653
"1","1983","Stratum_5"," [counts]",751333.501217014,108489.340604479,0.144395718317828
"1","1984","Stratum_5"," [counts]",405418.183327976,54885.2044000528,0.135379237185451
"1","1985","Stratum_5"," [counts]",375173.553138127,58401.3421595679,0.15566486942129
"1","1986","Stratum_5"," [counts]",394762.418149348,60492.1753579318,0.153236915615017
"1","1987","Stratum_5"," [counts]",1372593.35780798,187219.044955114,0.136398040898362
"1","1988","Stratum_5"," [counts]",983477.20031223,127433.242297052,0.129574170358595
"1","1989","Stratum_5"," [counts]",1000643.92283235,125957.640728954,0.125876585921221
"1","1990","Stratum_5"," [counts]",951629.46872114,122396.157791217,0.128617452290229
"1","1991","Stratum_5"," [counts]",524077.149331207,85988.8896541726,0.164076777176616
"1","1992","Stratum_5"," [counts]",469555.01411596,67731.9516199991,0.144247105416433
"1","1993","Stratum_5"," [counts]",904964.872839675,131199.63057275,0.144977594722612
"1","1994","Stratum_5"," [counts]",628100.104693998,95133.2498341478,0.151461923223999
"1","1995","Stratum_5"," [counts]",456809.107568939,67430.7540141116,0.147612542956875
"1","1996","Stratum_5"," [counts]",396157.704107294,62421.8084033977,0.157568078965066
"1","1997","Stratum_5"," [counts]",300823.033023721,44851.6587469509,0.149096491369443
"1","1998","Stratum_5"," [counts]",402385.532643117,56864.3523711363,0.141318083673675
"1","1999","Stratum_5"," [counts]",962767.900752763,147027.350923121,0.152713183320885
