"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"Small","1982 Spring","Stratum_1"," [counts*km2/km2]",8236189.17089886,2343901.48428759,0.284585678601137
"Medium","1982 Spring","Stratum_1"," [counts*km2/km2]",8629540.30180675,1289430.31937101,0.149420510742739
"Large","1982 Spring","Stratum_1"," [counts*km2/km2]",3131732.4048331,517288.094776046,0.1651763394528
"Unknown","1982 Spring","Stratum_1"," [counts*km2/km2]",19280198.6821078,4447497.84317033,0.230676971565529
"Small","1982 Fall","Stratum_1"," [counts*km2/km2]",2020517.13659281,580042.048651346,0.287076035212188
"Medium","1982 Fall","Stratum_1"," [counts*km2/km2]",4510251.80592392,851744.390543445,0.188846305526608
"Large","1982 Fall","Stratum_1"," [counts*km2/km2]",388588.593697498,156356.472371826,0.402370205682217
"Unknown","1982 Fall","Stratum_1"," [counts*km2/km2]",3451722.50889891,1220449.17978878,0.353576852322958
"Small","1983 Spring","Stratum_1"," [counts*km2/km2]",5359843.22802319,2124789.89369567,0.396427619857704
"Medium","1983 Spring","Stratum_1"," [counts*km2/km2]",8653980.96284655,1378505.85669861,0.159291528675281
"Large","1983 Spring","Stratum_1"," [counts*km2/km2]",2125257.80509097,377298.648661986,0.177530767212421
"Unknown","1983 Spring","Stratum_1"," [counts*km2/km2]",22381802.1443632,5329677.06569955,0.238125466006848
"Small","1983 Fall","Stratum_1"," [counts*km2/km2]",1977060.09633675,719417.93631821,0.363882685028745
"Medium","1983 Fall","Stratum_1"," [counts*km2/km2]",3967324.18135983,908492.948924746,0.228993877836662
"Large","1983 Fall","Stratum_1"," [counts*km2/km2]",390769.061067734,130115.645730347,0.332973253754585
"Unknown","1983 Fall","Stratum_1"," [counts*km2/km2]",3349109.71696728,1192430.26301073,0.356043953104802
"Small","1984 Spring","Stratum_1"," [counts*km2/km2]",1684576.51849526,349523.771461107,0.207484651260198
"Medium","1984 Spring","Stratum_1"," [counts*km2/km2]",4885935.59636141,864345.458314031,0.176904799759889
"Large","1984 Spring","Stratum_1"," [counts*km2/km2]",996804.085554964,225179.853886165,0.225901816765526
"Unknown","1984 Spring","Stratum_1"," [counts*km2/km2]",7279963.35295234,1646470.28033206,0.226164638543728
"Small","1984 Fall","Stratum_1"," [counts*km2/km2]",3537968.26460979,1182462.54350627,0.334220788618829
"Medium","1984 Fall","Stratum_1"," [counts*km2/km2]",3933920.75184231,831782.190609257,0.211438471458715
"Large","1984 Fall","Stratum_1"," [counts*km2/km2]",483369.055519266,167854.375947941,0.347259250527779
"Unknown","1984 Fall","Stratum_1"," [counts*km2/km2]",5305668.64620976,1677444.40288253,0.316160792302937
"Small","1985 Spring","Stratum_1"," [counts*km2/km2]",4322028.02897688,1170603.39352185,0.270845858859216
"Medium","1985 Spring","Stratum_1"," [counts*km2/km2]",6920103.75518625,1048200.5023238,0.15147178993353
"Large","1985 Spring","Stratum_1"," [counts*km2/km2]",3079986.41859214,502398.992909949,0.16311727541305
"Unknown","1985 Spring","Stratum_1"," [counts*km2/km2]",8920332.35823689,1946610.81402442,0.218221780966148
"Small","1985 Fall","Stratum_1"," [counts*km2/km2]",2016777.1477074,545291.225642702,0.270377530934724
"Medium","1985 Fall","Stratum_1"," [counts*km2/km2]",3684271.48747081,878716.993019117,0.238504951659342
"Large","1985 Fall","Stratum_1"," [counts*km2/km2]",545183.131530223,225416.775860571,0.413469828437042
"Unknown","1985 Fall","Stratum_1"," [counts*km2/km2]",4523001.48654973,1620351.62098994,0.358246979535263
"Small","1986 Spring","Stratum_1"," [counts*km2/km2]",5776135.47219963,1089438.37954325,0.188610254171961
"Medium","1986 Spring","Stratum_1"," [counts*km2/km2]",5790387.39230906,937753.084058667,0.161949973382474
"Large","1986 Spring","Stratum_1"," [counts*km2/km2]",2305624.61611621,390586.800341615,0.169406067931193
"Unknown","1986 Spring","Stratum_1"," [counts*km2/km2]",6831378.01281221,1648613.21876051,0.241329526146635
"Small","1986 Fall","Stratum_1"," [counts*km2/km2]",3447845.69306416,907404.365825278,0.263180097546318
"Medium","1986 Fall","Stratum_1"," [counts*km2/km2]",2396034.1235339,534064.903986383,0.222895366447741
"Large","1986 Fall","Stratum_1"," [counts*km2/km2]",389161.409600369,167434.621396408,0.430244667805955
"Unknown","1986 Fall","Stratum_1"," [counts*km2/km2]",2219222.14765842,782765.198802579,0.352720524003649
"Small","1987 Spring","Stratum_1"," [counts*km2/km2]",1217991.08408094,275974.768410778,0.226581928240486
"Medium","1987 Spring","Stratum_1"," [counts*km2/km2]",7395154.25694902,949440.945421945,0.128386902075745
"Large","1987 Spring","Stratum_1"," [counts*km2/km2]",1317407.35134595,225840.242634185,0.171427799004956
"Unknown","1987 Spring","Stratum_1"," [counts*km2/km2]",10782596.3332187,3665398.63434895,0.339936553412158
"Small","1987 Fall","Stratum_1"," [counts*km2/km2]",10892376.4322076,2543608.89031415,0.233521941345413
"Medium","1987 Fall","Stratum_1"," [counts*km2/km2]",6005668.76483365,1157915.20395091,0.192803707512328
"Large","1987 Fall","Stratum_1"," [counts*km2/km2]",148876.336637773,69385.3827452411,0.466060519168073
"Unknown","1987 Fall","Stratum_1"," [counts*km2/km2]",46206397.2562855,14194921.3397496,0.307206841100746
"Small","1988 Spring","Stratum_1"," [counts*km2/km2]",5361003.17850532,1201275.38480398,0.224076603726041
"Medium","1988 Spring","Stratum_1"," [counts*km2/km2]",11893273.271618,1288752.19463215,0.108359756410174
"Large","1988 Spring","Stratum_1"," [counts*km2/km2]",2124829.57724324,242416.293035038,0.114087405235365
"Unknown","1988 Spring","Stratum_1"," [counts*km2/km2]",16393524.1987926,3592087.7396981,0.219116261771382
"Small","1988 Fall","Stratum_1"," [counts*km2/km2]",3572031.28276478,802369.609135221,0.224625582929996
"Medium","1988 Fall","Stratum_1"," [counts*km2/km2]",4854271.22167168,806257.922185567,0.166092475135313
"Large","1988 Fall","Stratum_1"," [counts*km2/km2]",385283.708463882,151298.305000107,0.392693232743554
"Unknown","1988 Fall","Stratum_1"," [counts*km2/km2]",5993602.40922453,1982651.82505734,0.330794685681171
"Small","1989 Spring","Stratum_1"," [counts*km2/km2]",4439984.42389734,893503.207954391,0.201240167227904
"Medium","1989 Spring","Stratum_1"," [counts*km2/km2]",13120110.4963783,1446073.21087169,0.110218066476717
"Large","1989 Spring","Stratum_1"," [counts*km2/km2]",1418600.33273847,226178.906346137,0.159438075070461
"Unknown","1989 Spring","Stratum_1"," [counts*km2/km2]",20237028.9972269,4732878.74022623,0.233872212214292
"Small","1989 Fall","Stratum_1"," [counts*km2/km2]",3315939.21770461,914013.611415598,0.275642450421122
"Medium","1989 Fall","Stratum_1"," [counts*km2/km2]",7523026.12164547,1063355.39499958,0.141346763630138
"Large","1989 Fall","Stratum_1"," [counts*km2/km2]",856763.926293382,140612.98284919,0.164121035601398
"Unknown","1989 Fall","Stratum_1"," [counts*km2/km2]",6373745.28289124,1871250.2915792,0.293587240864819
"Small","1990 Spring","Stratum_1"," [counts*km2/km2]",2508131.71950132,545894.66328227,0.217649918079585
"Medium","1990 Spring","Stratum_1"," [counts*km2/km2]",10302538.6302344,1299442.6428541,0.126128393155517
