"HAUL_ID","HAUL_ID2"
"196307_1260_1","1963_FALL_001"
"196307_1260_2","1963_FALL_002"
"196307_1260_3","1963_FALL_003"
"196307_1260_4","1963_FALL_004"
"196307_1260_5","1963_FALL_005"
"196307_1260_6","1963_FALL_006"
"196307_1260_7","1963_FALL_007"
"196307_1400_1","1963_FALL_008"
"196307_1400_2","1963_FALL_009"
"196307_1400_3","1963_FALL_010"
"196307_1270_1","1963_FALL_011"
"196307_1270_2","1963_FALL_013"
"196307_1380_1","1963_FALL_014"
"196307_1380_2","1963_FALL_015"
"196307_1370_1","1963_FALL_016"
"196307_1370_2","1963_FALL_017"
"196307_1370_3","1963_FALL_018"
"196307_1280_1","1963_FALL_019"
"196307_1280_2","1963_FALL_020"
"196307_1280_3","1963_FALL_021"
"196307_1280_4","1963_FALL_022"
"196307_1280_5","1963_FALL_023"
"196307_1280_6","1963_FALL_024"
"196307_1370_4","1963_FALL_025"
"196307_1370_5","1963_FALL_026"
"196307_1380_3","1963_FALL_027"
"196307_1380_4","1963_FALL_028"
"196307_1390_1","1963_FALL_029"
"196307_1380_5","1963_FALL_030"
"196307_1380_6","1963_FALL_031"
"196307_1380_7","1963_FALL_041"
"196307_1390_2","1963_FALL_042"
"196307_1160_1","1963_FALL_080"
"196307_1160_2","1963_FALL_081"
"196307_1160_3","1963_FALL_082"
"196307_1160_4","1963_FALL_083"
"196307_1210_1","1963_FALL_084"
"196307_1200_2","1963_FALL_085"
"196307_1210_3","1963_FALL_087"
"196307_1210_4","1963_FALL_088"
"196307_1220_1","1963_FALL_089"
"196307_1200_1","1963_FALL_092"
"196307_1210_5","1963_FALL_093"
"196307_1220_2","1963_FALL_096"
"196307_1210_6","1963_FALL_097"
"196307_1200_3","1963_FALL_098"
"196307_1210_2","1963_FALL_099"
"196307_1240_1","1963_FALL_101"
"196307_1240_2","1963_FALL_102"
"196307_1250_1","1963_FALL_103"
"196307_1250_2","1963_FALL_104"
"196307_1230_1","1963_FALL_105"
"196307_1240_3","1963_FALL_106"
"196307_1240_4","1963_FALL_107"
"196307_1240_5","1963_FALL_108"
"196307_1240_6","1963_FALL_109"
"196307_1240_7","1963_FALL_110"
"196307_1240_8","1963_FALL_111"
"196307_1240_9","1963_FALL_112"
"196307_1240_10","1963_FALL_113"
"196307_1240_11","1963_FALL_114"
"196307_1230_2","1963_FALL_115"
"196307_1190_1","1963_FALL_116"
"196307_1190_2","1963_FALL_117"
"196307_1190_3","1963_FALL_118"
"196307_1190_4","1963_FALL_119"
"196307_1160_5","1963_FALL_120"
"196307_1170_1","1963_FALL_121"
"196307_1170_2","1963_FALL_122"
"196307_1170_3","1963_FALL_123"
"196307_1170_4","1963_FALL_124"
"196307_1160_6","1963_FALL_125"
"196307_1160_7","1963_FALL_126"
"196307_1180_1","1963_FALL_127"
"196307_1170_5","1963_FALL_128"
"196307_1130_1","1963_FALL_129"
"196307_1140_1","1963_FALL_130"
"196307_1150_1","1963_FALL_131"
"196307_1140_2","1963_FALL_132"
"196307_1140_3","1963_FALL_133"
"196307_1140_4","1963_FALL_134"
"196307_1130_2","1963_FALL_135"
"196307_1130_3","1963_FALL_136"
"196307_1200_4","1963_FALL_137"
"196307_1230_3","1963_FALL_138"
"196307_1100_5","1963_FALL_139"
"196307_1130_4","1963_FALL_140"
"196307_1100_2","1963_FALL_141"
"196307_1130_5","1963_FALL_142"
"196307_1140_5","1963_FALL_143"
"196307_1140_6","1963_FALL_144"
"196307_1100_3","1963_FALL_145"
"196307_1100_4","1963_FALL_147"
"196307_1090_1","1963_FALL_148"
"196307_1090_2","1963_FALL_149"
