INDEX_NAME,SURVEY,AREA,SEASON,AGES,STOCK,YEAR,NTOWS,INDEX_NO,SE_NO,CI_LO_NO,CI_HI_NO,CV_NO,INDEX_KG,SE_KG,CI_LO_KG,CI_HI_KG,CV_KG
ASMFC Shrimp Trawl_WGOM_SUMMER_A0+,ASMFC Shrimp Trawl,WGOM,SUMMER,A0+,WGOM,1983,20,1.004976405,0.484783904,0.054799953,1.955152857,48.23833693,1.354590305,0.615541061,0.148129825,2.561050785,45.44112409
ASMFC Shrimp Trawl_WGOM_SUMMER_A0+,ASMFC Shrimp Trawl,WGOM,SUMMER,A0+,WGOM,1984,39,1.006555191,0.252769197,0.511127565,1.501982817,25.11230375,3.297655383,1.959213682,-0.542403434,7.137714201,59.41232345
ASMFC Shrimp Trawl_WGOM_SUMMER_A0+,ASMFC Shrimp Trawl,WGOM,SUMMER,A0+,WGOM,1985,55,0.828387809,0.239701828,0.358572226,1.298203392,28.93594345,1.335036673,0.455603763,0.442053298,2.228020048,34.1266852
ASMFC Shrimp Trawl_WGOM_SUMMER_A0+,ASMFC Shrimp Trawl,WGOM,SUMMER,A0+,WGOM,1986,54,0.359780674,0.137118341,0.091028726,0.628532621,38.11164705,0.934256925,0.405916146,0.138661279,1.729852571,43.4480211
ASMFC Shrimp Trawl_WGOM_SUMMER_A0+,ASMFC Shrimp Trawl,WGOM,SUMMER,A0+,WGOM,1987,57,0.506636759,0.237654936,0.040833085,0.972440432,46.90834836,1.949946237,1.338377426,-0.673273519,4.573165992,68.63663218
ASMFC Shrimp Trawl_WGOM_SUMMER_A0+,ASMFC Shrimp Trawl,WGOM,SUMMER,A0+,WGOM,1988,43,1.207654412,0.328120406,0.564538416,1.850770408,27.17005816,1.286211911,0.5373141,0.233076276,2.339347546,41.774928
ASMFC Shrimp Trawl_WGOM_SUMMER_A0+,ASMFC Shrimp Trawl,WGOM,SUMMER,A0+,WGOM,1989,49,2.183913694,0.476214144,1.250533972,3.117293415,21.80553861,2.081189205,0.598630123,0.907874163,3.254504246,28.76384915
ASMFC Shrimp Trawl_WGOM_SUMMER_A0+,ASMFC Shrimp Trawl,WGOM,SUMMER,A0+,WGOM,1990,47,1.955627359,0.545344795,0.88675156,3.024503158,27.88592586,2.279684557,0.654868011,0.996143255,3.563225858,28.72625553
ASMFC Shrimp Trawl_WGOM_SUMMER_A0+,ASMFC Shrimp Trawl,WGOM,SUMMER,A0+,WGOM,1991,55,0.553445586,0.237389055,0.088163038,1.018728134,42.89293498,0.95392554,0.376956829,0.215090157,1.692760924,39.51637864
ASMFC Shrimp Trawl_WGOM_SUMMER_A0+,ASMFC Shrimp Trawl,WGOM,SUMMER,A0+,WGOM,1992,55,0.052125614,0.039094211,-0.024499039,0.128750267,75,0.080794702,0.079284784,-0.074603475,0.236192879,98.13116722
ASMFC Shrimp Trawl_WGOM_SUMMER_A0+,ASMFC Shrimp Trawl,WGOM,SUMMER,A0+,WGOM,1993,53,0.773246457,0.575517697,-0.35476823,1.901261144,74.4287532,0.344703411,0.250200759,-0.145690077,0.835096899,72.58435833
ASMFC Shrimp Trawl_WGOM_SUMMER_A0+,ASMFC Shrimp Trawl,WGOM,SUMMER,A0+,WGOM,1994,45,0.338665441,0.094554492,0.153338637,0.523992245,27.91973447,0.27721317,0.10651777,0.068438341,0.485987999,38.42449828
ASMFC Shrimp Trawl_WGOM_SUMMER_A0+,ASMFC Shrimp Trawl,WGOM,SUMMER,A0+,WGOM,1995,35,0.396028864,0.180796017,0.041668671,0.750389057,45.65223231,0.411549764,0.192865802,0.033532793,0.789566735,46.86330029
ASMFC Shrimp Trawl_WGOM_SUMMER_A0+,ASMFC Shrimp Trawl,WGOM,SUMMER,A0+,WGOM,1996,34,1.105837428,0.533097852,0.060965638,2.150709218,48.2076152,1.167258599,0.523655744,0.14089334,2.193623857,44.86201642
ASMFC Shrimp Trawl_WGOM_SUMMER_A0+,ASMFC Shrimp Trawl,WGOM,SUMMER,A0+,WGOM,1997,40,0.265135655,0.095115788,0.07870871,0.451562599,35.87438592,0.618876665,0.331700714,-0.031256734,1.269010063,53.59722423
