INDEX_NAME,SURVEY,AREA,SEASON,STOCK,YEAR,LENGTH,FREQUENCY
ASMFC Shrimp Trawl_WGOM_SUMMER,ASMFC Shrimp Trawl,WGOM,SUMMER,WGOM,1983,9,0.09034749
ASMFC Shrimp Trawl_WGOM_SUMMER,ASMFC Shrimp Trawl,WGOM,SUMMER,WGOM,1983,22,0.045634921
ASMFC Shrimp Trawl_WGOM_SUMMER,ASMFC Shrimp Trawl,WGOM,SUMMER,WGOM,1983,27,0.036636637
ASMFC Shrimp Trawl_WGOM_SUMMER,ASMFC Shrimp Trawl,WGOM,SUMMER,WGOM,1983,32,0.082271557
ASMFC Shrimp Trawl_WGOM_SUMMER,ASMFC Shrimp Trawl,WGOM,SUMMER,WGOM,1983,33,0.118908194
ASMFC Shrimp Trawl_WGOM_SUMMER,ASMFC Shrimp Trawl,WGOM,SUMMER,WGOM,1983,34,0.036636637
ASMFC Shrimp Trawl_WGOM_SUMMER,ASMFC Shrimp Trawl,WGOM,SUMMER,WGOM,1983,37,0.036636637
ASMFC Shrimp Trawl_WGOM_SUMMER,ASMFC Shrimp Trawl,WGOM,SUMMER,WGOM,1983,40,0.036636637
ASMFC Shrimp Trawl_WGOM_SUMMER,ASMFC Shrimp Trawl,WGOM,SUMMER,WGOM,1983,42,0.082271557
ASMFC Shrimp Trawl_WGOM_SUMMER,ASMFC Shrimp Trawl,WGOM,SUMMER,WGOM,1983,43,0.082271557
ASMFC Shrimp Trawl_WGOM_SUMMER,ASMFC Shrimp Trawl,WGOM,SUMMER,WGOM,1983,44,0.036636637
ASMFC Shrimp Trawl_WGOM_SUMMER,ASMFC Shrimp Trawl,WGOM,SUMMER,WGOM,1983,45,0.036636637
ASMFC Shrimp Trawl_WGOM_SUMMER,ASMFC Shrimp Trawl,WGOM,SUMMER,WGOM,1983,47,0.045634921
ASMFC Shrimp Trawl_WGOM_SUMMER,ASMFC Shrimp Trawl,WGOM,SUMMER,WGOM,1983,48,0.036636637
ASMFC Shrimp Trawl_WGOM_SUMMER,ASMFC Shrimp Trawl,WGOM,SUMMER,WGOM,1983,54,0.036636637
ASMFC Shrimp Trawl_WGOM_SUMMER,ASMFC Shrimp Trawl,WGOM,SUMMER,WGOM,1983,55,0.045634921
ASMFC Shrimp Trawl_WGOM_SUMMER,ASMFC Shrimp Trawl,WGOM,SUMMER,WGOM,1983,82,0.036636637
ASMFC Shrimp Trawl_WGOM_SUMMER,ASMFC Shrimp Trawl,WGOM,SUMMER,WGOM,1983,99,0.036636637
ASMFC Shrimp Trawl_WGOM_SUMMER,ASMFC Shrimp Trawl,WGOM,SUMMER,WGOM,1984,17,0.036359752
ASMFC Shrimp Trawl_WGOM_SUMMER,ASMFC Shrimp Trawl,WGOM,SUMMER,WGOM,1984,18,0.018179876
ASMFC Shrimp Trawl_WGOM_SUMMER,ASMFC Shrimp Trawl,WGOM,SUMMER,WGOM,1984,19,0.025033501
ASMFC Shrimp Trawl_WGOM_SUMMER,ASMFC Shrimp Trawl,WGOM,SUMMER,WGOM,1984,20,0.018179876
