INDEX_NAME,SURVEY,AREA,SEASON,AGES SAMPLED,STOCK,GEAR,SURVEY DESIGN,YEARS,MONTHS,DATE_MEDIAN,SPATIAL EXTENT,LENGTHS,WEIGHTS,AGES,SEX INFO,MATURITY INFO,ENVIRON PARAMS,EFFORT,GEAR MENSURATION,DESIGN CHANGES,MODEL,SUBSETTING_NOTES,COVID_NOTES,COMMENTS
ASMFC Shrimp Trawl_WGOM_Summer_A0+,ASMFC Shrimp Trawl,WGOM,SUMMER,A0+,WGOM,Trawl,Random stratified,1983-2021,Jul-Aug,NA,Gulf of Maine,Yes,Yes,No,Yes,No,NA,NA,NA,NA,Stratified Mean,"Strata: 4010,4030,4050-4070",No tows in 2020,NA
DFO Trawl_5Z1-2_SUMMER_A0+,DFO Trawl,5Z1-2,SUMMER,A0+,GBK,Trawl,Random stratified,"1989, 1990, 2011-2021",July-Aug,NA,Georges Bank,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,Stratified Mean,"Strata: 5Z1, 5Z2 Summer Survey",NA,Indices based on requested strata groupings. Inconsistent coverage since 2011.
DFO Trawl_5Z1-7_SPRING_A0+,DFO Trawl,5Z1-7,SPRING,A0+,GBK,Trawl,Random stratified,1987-2021,Feb-Apr,NA,Georges Bank,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,Stratified Mean,"Strata: 5Z1, 5Z2, 5Z3, 5Z4, 5Z5, 5Z6, 5Z7 - Spring Survey",NA,Indices based on requested strata groupings. Not all strata covered in all years
DFO Trawl_5ZJ-M_SPRING_A0+,DFO Trawl,5ZJ-M,SPRING,A0+,GBK,Trawl,Random stratified,1987-2022,Feb-Apr,NA,Georges Bank - NAFO 5ZJM,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,Stratified Mean,"Strata: 5Z1, 5Z2, 5Z3, 5Z4 within NAFO 5ZJM (US Area 551,552,561,562; CAN Unit Area 523, 524))",NA,Indices used for EGB cod and haddock TRAC assessments.
MAMDF Industry_WGOM_SPRING_A0+,MADMF Industry,WGOM,SPRING,A1+,WGOM,Trawl,IBS1: 2-stage stratified; IBS2: random stratified,IBS1: 2004-2007; IBS2: 2016-2019,"IBS1: Nov-May; IBS2: Oct-Jan, Apr-Jul",NA,"IBS1: 20-140m depths; IBS2: 20m+ depths, west of -69.5 longitude",Yes,Yes after 2003,Yes,Yes,Yes,depth,"NCOD_SQKM accounts for tow length, gear width, herding, and footrope escapement","door spread, wing spread, net height",same gear throughout; see refs for study area changes between periods,"D ~ s(J,bs='cc') + s(DEPTH) + s(LAT,LON)",OVERLAP = TRUE; STOCK = WGOM,No COVID effects,NA
MADMF Inshore Trawl_SNE_SPRING_A0,MADMF Trawl,SNE,SPRING,A0,SNE,Trawl,Random stratified,1978-2021,May,May 19th,"MA State Waters, RI to Nantucket",Yes,No,Yes,Yes,Yes,"SETDEPTH, BOTTEMP",20 min standard tow,NA,none,Stratified Mean NCOD,SHG <= 136; Strata: 9110-9160; Length <9 cm,No tows in 2020,Some strata were grouped: 9170-9200; 9280-9300; 9310-9320; 9350-9360; ONLY lengths < 9cm
MADMF Inshore Trawl_WGOM_FALL_A0,MADMF Trawl,WGOM,FALL,A0,WGOM,Trawl,Random stratified,1978-2021,Sep,Sep 11th,"MA State Waters, NH to Nantucket",Yes,No,Yes,Yes,Yes,"SETDEPTH, BOTTEMP",20 min standard tow,NA,none,Stratified Mean NCOD,SHG <= 136; Strata: 9170-9360; Length <9 cm,No tows in 2020,Some strata were grouped: 9170-9200; 9280-9300; 9310-9320; 9350-9360; ONLY lengths < 9cm
MADMF Inshore Trawl_WGOM_FALL_A1+,MADMF Trawl,WGOM,FALL,A1+,WGOM,Trawl,Random stratified,1978-2021,Sep,Sep 11th,"MA State Waters, NH to Nantucket",Yes,No,Yes,Yes,Yes,"SETDEPTH, BOTTEMP",20 min standard tow,NA,none,Stratified Mean NCOD,SHG <= 136; Strata: 9170-9360; Length >=15 cm,No tows in 2020,Some strata were grouped: 9170-9200; 9280-9300; 9310-9320; 9350-9360; ONLY lengths >=15cm
MADMF Inshore Trawl_WGOM_SPRING_A0,MADMF Trawl,WGOM,SPRING,A0,WGOM,Trawl,Random stratified,1978-2021,May,May 12th,"MA State Waters, NH to Nantucket",Yes,No,Yes,Yes,Yes,"SETDEPTH, BOTTEMP",20 min standard tow,NA,none,Stratified Mean NCOD,SHG <= 136; Strata: 9170-9360; Length <9 cm,No tows in 2020,Some strata were grouped: 9170-9200; 9280-9300; 9310-9320; 9350-9360; ONLY lengths < 9cm
MADMF Inshore Trawl_WGOM_SPRING_A1+,MADMF Trawl,WGOM,SPRING,A1+,WGOM,Trawl,Random stratified,1978-2021,May,May 12th,"MA State Waters, NH to Nantucket",Yes,No,Yes,Yes,Yes,"SETDEPTH, BOTTEMP",20 min standard tow,NA,none,Stratified Mean NCOD,SHG <= 136; Strata: 9170-9360; Length >=9 cm,No tows in 2020,Some strata were grouped: 9170-9200; 9280-9300; 9310-9320; 9350-9360; ONLY lengths >= 9cm
