INDEX_NAME,YEAR,SEASON,TOTAL_ABUNDANCE,TOTAL_ABUNDANCE_CV,Age-0,Age-1,Age-2,Age-3,Age-4,Age-5,Age-6,Age-7,Age-8,Age-9+,UNKNOWN,STOCK,SURVEY
NEFSC_BLLS_GOM_SPRING,2014,SPRING,5.547133153,0.28260104,0,0.008645712,0.224179304,1.114037615,2.800187586,0.875977245,0.490321606,0.024015506,0,9.29E-05,NA,WGOM,NEFSC BLLS
NEFSC_BLLS_GOM_SPRING,2015,SPRING,4.725810476,0.128313052,0,0.061386295,1.425870209,1.046470266,1.685360497,0.452501831,0.043775503,0.01044015,0,0,NA,WGOM,NEFSC BLLS
NEFSC_BLLS_GOM_SPRING,2016,SPRING,3.885163258,0.259564057,0,0.0036744,0.334546834,2.873522498,0.324929886,0.211950187,0.009433256,0.104229437,0.001413174,0,NA,WGOM,NEFSC BLLS
NEFSC_BLLS_GOM_SPRING,2017,SPRING,2.118228847,0.231088335,0,0.003304726,0.13064051,0.50497138,0.98053559,0.385094968,0.107777404,8.37E-07,0.005903429,0,NA,WGOM,NEFSC BLLS
NEFSC_BLLS_GOM_SPRING,2018,SPRING,4.05802197,0.236311887,0,3.38E-09,0.021540482,0.150629228,1.090179723,2.341694372,0.230098873,0.223879295,0,0,NA,WGOM,NEFSC BLLS
NEFSC_BLLS_GOM_SPRING,2019,SPRING,2.221742835,0.20519235,0,0,0.576215006,0.242869669,0.298644639,0.396229584,0.699812534,0,0.007971404,0,NA,WGOM,NEFSC BLLS
NEFSC_BLLS_GOM_SPRING,2021,SPRING,2.676825893,0.527119454,0,7.72E-06,0.905057957,0.781486192,0.990274027,1.12E-09,0,0,0,0,NA,WGOM,NEFSC BLLS
NEFSC_BLLS_GOM_FALL,2014,FALL,2.464877615,0.293505258,0,0.054000205,0.53461197,1.099066829,0.703050719,0.074144545,3.61E-07,0,0,0,NA,WGOM,NEFSC BLLS
NEFSC_BLLS_GOM_FALL,2015,FALL,3.265227,0.182539977,0,0.024909374,1.29341335,0.715533212,0.60583765,0.546083003,0.079446455,0,0,0,NA,WGOM,NEFSC BLLS
NEFSC_BLLS_GOM_FALL,2016,FALL,3.954749526,0.20627447,8.82E-07,0,0.429374719,2.738619753,0.246450802,0.522347773,0.009258893,0.008691912,0,0,NA,WGOM,NEFSC BLLS
NEFSC_BLLS_GOM_FALL,2017,FALL,3.051944065,0.292447335,3.83E-06,0.015015033,0.278150931,0.837906833,1.591824174,0.133623324,0.121212262,0.074207673,0,0,NA,WGOM,NEFSC BLLS
NEFSC_BLLS_GOM_FALL,2018,FALL,3.02533643,0.233078835,0,0.035040307,0.352491123,0.868624495,0.522099145,1.173915357,0.027336858,0.045829147,0,0,NA,WGOM,NEFSC BLLS
NEFSC_BLLS_GOM_FALL,2019,FALL,1.830619792,0.241138044,0.000140506,0,0.58735684,0.228289052,0.253364582,0.383623651,0.15859496,0,0.219250202,0,NA,WGOM,NEFSC BLLS
NEFSC_BLLS_GOM_FALL,2020,FALL,1.626221475,0.254516269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WGOM,NEFSC BLLS
NEFSC_BLLS_GOM_FALL,2021,FALL,0.638870194,0.287482818,0,0.054717333,0.219324467,0.120768219,0.228150631,0,0,0,0,0,NA,WGOM,NEFSC BLLS
NMFS_BTS_WGOM_FALL,1970,FALL,4.2866,0.33,1.0816,1.0005,0.5872,0.6643,0.4505,0.4583,4.26E-02,0.6568,0.1136,0.3128,NA,WGOM,NEFSC BTS
NMFS_BTS_WGOM_FALL,1971,FALL,4.134,0.19,1.8897,0.3404,0.4012,0.3208,0.7786,0.7573,0.5643,0.2345,0.3721,0.3648,NA,WGOM,NEFSC BTS
NMFS_BTS_WGOM_FALL,1972,FALL,19.0999,0.33,0.2009,11.4386,2.5839,2.6754,0.5383,0.3382,0.7348,0.1626,0.3127,0.3154,NA,WGOM,NEFSC BTS
NMFS_BTS_WGOM_FALL,1973,FALL,10.0638,0.17,0.7664,0.5492,6.2665,0.4616,1.2617,0.2529,0.292,0.2275,0.1,0.6524,NA,WGOM,NEFSC BTS
NMFS_BTS_WGOM_FALL,1974,FALL,5.1835,0.22,0.7554,1.5215,0.593,2.3081,0.1363,0.2898,0.126,0,0.1436,6.52E-02,NA,WGOM,NEFSC BTS
NMFS_BTS_WGOM_FALL,1975,FALL,8.8641,0.32,2.1859,1.1459,3.4183,0.6941,2.9471,0.3717,0.2137,2.06E-02,0,5.27E-02,NA,WGOM,NEFSC BTS
NMFS_BTS_WGOM_FALL,1976,FALL,6.9462,0.3,0,1.2417,1.9509,1.5235,0.4013,1.2754,0.1234,0.2935,2.74E-02,0.1091,NA,WGOM,NEFSC BTS
