"year","month","bt_temp"
1978,1,6.76707529
1978,2,5.747220316
1978,3,6.077169292
1978,4,5.962946809
1978,5,5.943355564
1978,6,5.869611823
1978,7,5.968491552
1978,8,6.324283365
1978,9,6.96879981
1978,10,7.202716282
1978,11,7.164589487
1978,12,7.169952094
1979,1,6.274602448
1979,2,5.661716658
1979,3,5.650061077
1979,4,5.579260915
1979,5,5.746080257
1979,6,5.824455629
1979,7,6.1377917
1979,8,6.834058594
1979,9,7.61572871
1979,10,7.754735523
1979,11,8.029900983
1979,12,7.942657562
1980,1,6.836671024
1980,2,6.160609162
1980,3,5.854073986
1980,4,5.783701395
1980,5,5.919727959
1980,6,5.936985265
1980,7,6.19283298
1980,8,6.80481542
1980,9,7.64733101
1980,10,7.739462571
1980,11,7.839577468
1980,12,7.966235238
1981,1,6.330470522
1981,2,5.484617561
1981,3,5.836360909
1981,4,6.01426927
1981,5,6.082606643
1981,6,6.172761746
1981,7,6.446744262
1981,8,7.066357881
1981,9,7.89508604
1981,10,7.800645246
1981,11,8.043191355
1981,12,8.229808128
1982,1,7.086164923
1982,2,6.1857534
1982,3,5.796844501
1982,4,5.797985643
1982,5,5.843811525
1982,6,5.948815895
1982,7,6.178130827
1982,8,6.625497865
1982,9,7.262391317
1982,10,7.559257573
1982,11,7.424244676
1982,12,7.272514833
1983,1,6.240447923
1983,2,5.53057976
1983,3,5.575213937
1983,4,5.585315987
1983,5,5.703764157
1983,6,5.720830682
1983,7,6.061150562
1983,8,6.883918013
1983,9,7.541121357
1983,10,7.671390239
1983,11,7.913155706
1983,12,7.593896711
1984,1,6.424419715
1984,2,6.181965969
1984,3,6.536988359
1984,4,6.433968019
1984,5,6.408894061
1984,6,6.386848035
1984,7,6.65782283
1984,8,7.258487452
1984,9,8.011434451
1984,10,8.325323025
1984,11,8.782666254
1984,12,8.472417588
1985,1,6.758230857
1985,2,6.703617366
1985,3,6.506025563
1985,4,6.375877561
1985,5,6.304933025
1985,6,6.215293276
1985,7,7.200579611
1985,8,7.787061545
1985,9,8.086116977
1985,10,8.664798748
1985,11,8.816604532
1985,12,8.624314412
1986,1,7.162105805
1986,2,7.160751557
1986,3,6.833419383
1986,4,6.811875872
1986,5,6.77310467
1986,6,6.747462915
1986,7,7.774754304
1986,8,8.273219051
1986,9,8.524292871
1986,10,8.892364944
1986,11,8.811155792
1986,12,8.608505691
1987,1,7.271817024
1987,2,7.168980275
1987,3,6.462980162
1987,4,6.136381622
1987,5,6.128943866
1987,6,6.278505787
1987,7,7.22947676
1987,8,7.700807672
1987,9,7.966965792
1987,10,8.365056638
1987,11,8.373029645
1987,12,8.286601492
1988,1,6.874485189
1988,2,6.967821825
1988,3,6.920981059
1988,4,6.648251135
1988,5,6.592459096
1988,6,6.597357739
1988,7,7.562192327
1988,8,8.038059154
1988,9,8.198135603
1988,10,8.534753373
1988,11,8.467638484
1988,12,8.24214393
1989,1,6.549853239
1989,2,6.032708686
1989,3,5.42827111
1989,4,5.488891215
1989,5,5.882978507
1989,6,5.915414304
1989,7,6.861515634
1989,8,7.46227258
1989,9,7.75202361
1989,10,8.194844563
1989,11,8.363377178
1989,12,8.038591975
1990,1,6.603109991
1990,2,6.56323792
1990,3,6.20164601
1990,4,6.130384417
1990,5,6.167195655
1990,6,6.084327819
