"year","month","bt_temp"
1978,1,8.141221075
1978,2,6.536040767
1978,3,6.293281098
1978,4,6.457968625
1978,5,7.022604043
1978,6,7.974620375
1978,7,9.276088795
1978,8,9.752749684
1978,9,10.8118645
1978,10,12.18714762
1978,11,13.2805896
1978,12,11.76305262
1979,1,8.351423255
1979,2,5.719472111
1979,3,5.79064993
1979,4,5.981710779
1979,5,6.399444793
1979,6,7.058879902
1979,7,7.988386049
1979,8,8.785520286
1979,9,10.108371
1979,10,11.30462195
1979,11,12.12806806
1979,12,10.9152058
1980,1,7.572218946
1980,2,5.527453379
1980,3,5.292021571
1980,4,5.632252302
1980,5,6.413535038
1980,6,7.450424635
1980,7,8.361762015
1980,8,9.21542851
1980,9,10.5758194
1980,10,11.49908142
1980,11,11.52140489
1980,12,9.261829488
1981,1,5.545100523
1981,2,4.742022536
1981,3,5.026635739
1981,4,5.889953879
1981,5,6.630119959
1981,6,7.429953123
1981,7,8.498599269
1981,8,9.491542673
1981,9,11.14812241
1981,10,11.27683327
1981,11,12.0072299
1981,12,9.751828068
1982,1,6.530659177
1982,2,5.237301105
1982,3,5.43081492
1982,4,5.919485868
1982,5,6.471997715
1982,6,7.750625658
1982,7,8.7577559
1982,8,9.590242603
1982,9,10.86999355
1982,10,13.12317803
1982,11,13.72887451
1982,12,12.07178664
1983,1,9.076060123
1983,2,7.316532806
1983,3,6.890172001
1983,4,6.62936591
1983,5,7.493373188
1983,6,8.434873536
1983,7,9.436323686
1983,8,10.62843607
1983,9,11.87533769
1983,10,13.17688002
1983,11,13.4747781
1983,12,11.52058362
1984,1,7.926188703
1984,2,7.184476883
1984,3,6.445783528
1984,4,5.633933869
1984,5,6.255845457
1984,6,7.24551219
1984,7,8.041312057
1984,8,9.015365661
1984,9,10.11343707
1984,10,11.95856681
1984,11,12.88917263
1984,12,11.38123378
1985,1,8.518721228
1985,2,6.382903726
1985,3,6.711785898
1985,4,7.249777301
1985,5,8.457978018
1985,6,8.911468444
1985,7,9.492229492
1985,8,9.957814339
1985,9,12.25318423
1985,10,13.66717842
1985,11,14.59052684
1985,12,13.38463868
1986,1,9.153965756
1986,2,7.623792573
1986,3,7.308026145
1986,4,8.054349144
1986,5,9.211659868
1986,6,9.850063208
1986,7,10.32929048
1986,8,10.7340229
1986,9,12.66341741
