"year","month","bt_temp"
1978,1,6.819448301
1978,2,5.673625094
1978,3,5.276396863
1978,4,5.380912623
1978,5,5.6232025
1978,6,6.08124694
1978,7,6.81111408
1978,8,7.034912921
1978,9,7.395729681
1978,10,8.221242125
1978,11,8.409340812
1978,12,7.966361776
1979,1,6.535192826
1979,2,5.352361568
1979,3,5.29769638
1979,4,5.280563283
1979,5,5.576924578
1979,6,5.899247401
1979,7,6.441210829
1979,8,6.884246973
1979,9,7.241369181
1979,10,7.66531584
1979,11,7.895948957
1979,12,7.949056054
1980,1,6.595596327
1980,2,5.722013753
1980,3,5.462293312
1980,4,5.530626181
1980,5,5.812725971
1980,6,6.265236998
1980,7,6.894941076
1980,8,7.273652421
1980,9,7.748526564
1980,10,8.169949967
1980,11,7.987191594
1980,12,7.593832335
1981,1,5.597675142
1981,2,4.696199951
1981,3,4.88934571
1981,4,5.16064546
1981,5,5.559786393
1981,6,6.053415953
1981,7,6.754539212
1981,8,7.224124342
1981,9,7.711729625
1981,10,7.931010677
1981,11,7.981784545
1981,12,7.656370411
1982,1,6.290934505
1982,2,5.348768944
1982,3,5.209011169
1982,4,5.298381101
1982,5,5.557094799
1982,6,5.954650325
1982,7,6.690212963
1982,8,7.05050956
1982,9,7.49817718
1982,10,7.94364546
1982,11,7.963553124
1982,12,7.940506065
1983,1,6.783324788
1983,2,5.917304551
1983,3,5.871336081
1983,4,5.866428201
1983,5,6.2790819
1983,6,6.461296512
1983,7,6.901885613
1983,8,7.307789844
1983,9,7.653236873
1983,10,8.176683184
1983,11,8.332661314
1983,12,8.125859543
1984,1,6.675721815
1984,2,6.23866775
1984,3,6.195940555
1984,4,6.097223711
1984,5,6.393016202
1984,6,6.729441714
1984,7,7.254072288
1984,8,7.610059615
1984,9,7.948222315
1984,10,8.419707714
1984,11,8.593590585
1984,12,8.677158946
1985,1,7.231709182
1985,2,6.360631905
1985,3,6.375831745
1985,4,6.308453699
1985,5,6.624482331
1985,6,6.917087282
1985,7,7.343125579
1985,8,7.810823307
1985,9,8.511547635
1985,10,9.095169353
1985,11,9.364122761
1985,12,8.948798031
1986,1,7.510755926
1986,2,6.881345297
1986,3,6.623004821
1986,4,6.718728296
1986,5,6.905744558
1986,6,7.232098446
1986,7,7.518624025
1986,8,7.948936022
1986,9,8.550884773
1986,10,9.187028709
1986,11,9.214231179
1986,12,8.793336395
1987,1,7.57383171
1987,2,6.644586312
1987,3,6.112974112
1987,4,5.931389189
1987,5,6.194364358
1987,6,6.602653004
1987,7,7.045329908
1987,8,7.569117874
1987,9,7.829918218
1987,10,8.152547578
1987,11,8.273212446
1987,12,8.259854124
1988,1,7.036932698
1988,2,6.550915811
1988,3,6.509283614
1988,4,6.24247687
1988,5,6.396885248
1988,6,6.815234711
1988,7,7.137162253
1988,8,7.616210938
1988,9,8.17112871
1988,10,8.527430576
1988,11,8.694249845
1988,12,8.452218317
1989,1,7.354199462
1989,2,6.608093758
1989,3,6.027610626
1989,4,5.862901397
1989,5,6.129100229
1989,6,6.531116394
1989,7,6.837182384
1989,8,7.245050759
1989,9,7.928712421
1989,10,8.400122651
1989,11,8.725359702
1989,12,7.778422293
1990,1,6.823441979
1990,2,6.745204005
1990,3,6.516894537
1990,4,6.480875167
1990,5,6.660116793
1990,6,6.886947967
1990,7,7.142107407
1990,8,7.56243193
1990,9,8.156450045
1990,10,8.635032148
1990,11,8.530591621
1990,12,8.545845115
1991,1,7.740522807
1991,2,6.999705649
1991,3,6.75638629
1991,4,6.616211457
1991,5,6.96732212
1991,6,7.408755703
1991,7,7.645605001
1991,8,7.807270996
1991,9,8.435033035
1991,10,9.032929152
1991,11,9.119936686
1991,12,8.908431728
1992,1,7.758886021
1992,2,6.474088035
1992,3,5.920810468
1992,4,5.375323173
1992,5,5.457767628
1992,6,5.929409474
1992,7,6.357871371
1992,8,6.718051504
1992,9,7.210530255
1992,10,7.510412364
1992,11,7.54987533
1992,12,7.442265022
1993,1,7.079225202
1993,2,6.620867223
1993,3,6.14299352
1993,4,5.856890602
1993,5,6.074298852
1993,6,6.637674403
1993,7,7.181935959
1993,8,7.667787866
1993,9,8.438853562
1993,10,8.807715896
1993,11,8.63544617
1993,12,8.098570967
1994,1,7.366845252
1994,2,6.927725408
1994,3,6.794198556
1994,4,6.939736276
1994,5,7.005914356
1994,6,7.612504077
1994,7,8.120454924
1994,8,8.864355993
1994,9,9.227587064
1994,10,9.336943022
1994,11,9.15283309
1994,12,8.825937833
1995,1,8.131933851
1995,2,7.375209535
1995,3,6.955923665
1995,4,6.944273632
1995,5,7.031198745
1995,6,7.56226905
1995,7,8.105559388
1995,8,8.756648452
1995,9,9.202057221
1995,10,9.333948934
1995,11,9.003345176
1995,12,8.287942003
1996,1,7.345730949
1996,2,6.868206712
1996,3,6.608822707
1996,4,6.573603678
1996,5,6.92313564
1996,6,7.465444111
1996,7,7.574976646
1996,8,7.970596526
1996,9,8.482134924
1996,10,8.568431442
1996,11,8.386792212
1996,12,8.190527302
1997,1,7.823317729
1997,2,7.309403978
1997,3,6.858692362
1997,4,6.609530792
1997,5,7.0022076
1997,6,7.592417689
1997,7,8.125664949
1997,8,8.58760555
1997,9,9.06997113
1997,10,9.026402962
1997,11,8.537648987
1997,12,8.000217924
1998,1,7.583151995
1998,2,6.72239979
1998,3,6.148050127
1998,4,6.218463752
1998,5,6.462015602
1998,6,6.752599119
1998,7,7.001383468
1998,8,7.312078058
1998,9,7.529822889
1998,10,7.681409319
1998,11,7.695395395
1998,12,7.486405529
1999,1,7.265889239
1999,2,6.958068521
1999,3,6.325914803
1999,4,6.367447904
1999,5,6.618386549
1999,6,7.218876241
1999,7,7.999781376
1999,8,8.653232731
1999,9,9.064259992
1999,10,9.458484884
1999,11,9.479014734
1999,12,9.055971365
2000,1,8.315032795
2000,2,7.540583429
2000,3,7.137403539
2000,4,7.369586789
2000,5,7.373301889
2000,6,7.753793297
2000,7,8.231709039
2000,8,8.595464325
2000,9,8.857814732
2000,10,8.922460419
2000,11,8.682757774
2000,12,8.093601063
2001,1,7.538656423
2001,2,7.288522985
2001,3,6.797954501
2001,4,6.594558948
2001,5,6.904415238
2001,6,7.458116757
2001,7,7.944477829
2001,8,8.348348352
2001,9,8.777603265
2001,10,8.941319913
2001,11,8.775551196
2001,12,8.564043275
2002,1,7.944096999
2002,2,7.338864835
2002,3,7.044103823
2002,4,7.165177144
2002,5,7.443840336
2002,6,7.712243561
2002,7,8.110916425
2002,8,8.716064498
2002,9,9.207736419
2002,10,9.439817904
2002,11,9.186025954
2002,12,8.540878868
2003,1,7.561445492
2003,2,6.705812346
2003,3,6.125439569
2003,4,5.899585748
2003,5,6.030388117
2003,6,6.462053305
2003,7,7.138914523
2003,8,7.695705458
2003,9,8.235888141
2003,10,8.433811256
2003,11,8.310673635
2003,12,7.784183024
2004,1,7.199473638
2004,2,6.209139245
2004,3,5.734012463
2004,4,5.401624537
2004,5,5.63156226
2004,6,5.881623532
2004,7,6.412384355
2004,8,6.943084533
2004,9,7.326285176
2004,10,7.637675183
2004,11,7.628856945
2004,12,7.330983323
2005,1,6.514872013
2005,2,5.712002715
2005,3,5.531118284
2005,4,5.518047742
2005,5,6.062038939
2005,6,6.617232571
2005,7,7.407410844
2005,8,7.794898072
2005,9,8.099241038
2005,10,8.27958494
2005,11,8.261839598
2005,12,8.175985799
2006,1,7.682364131
2006,2,7.215013714
2006,3,6.793352783
2006,4,6.719480904
2006,5,7.027873728
2006,6,7.735114356
2006,7,8.457387778
2006,8,8.817873037
2006,9,9.159324541
2006,10,9.184833235
2006,11,9.009194269
2006,12,8.739194299
2007,1,8.381279048
2007,2,7.448885715
2007,3,6.745880132
2007,4,6.463553018
2007,5,6.152292852
2007,6,6.694516058
2007,7,7.347801983
2007,8,7.550432281
2007,9,7.797584144
2007,10,7.761045839
2007,11,7.497969505
2007,12,7.211617507
2008,1,6.984897933
2008,2,6.685298354
2008,3,6.547402155
2008,4,6.566434027
2008,5,6.482961874
2008,6,6.776462277
2008,7,7.279586585
2008,8,7.628129656
2008,9,8.077169947
2008,10,8.134880634
2008,11,8.159147921
2008,12,7.952502147
2009,1,7.338948294
2009,2,6.666538593
2009,3,6.469759919
2009,4,6.429611129
2009,5,6.743249751
2009,6,7.150492807
2009,7,7.290298208
2009,8,7.468308329
2009,9,7.932008746
2009,10,8.511152861
2009,11,8.762503358
2009,12,8.451984473
2010,1,7.377061616
2010,2,6.847875821
2010,3,5.999738383
2010,4,6.596728115
2010,5,7.383322706
2010,6,8.155260138
2010,7,8.651648069
2010,8,9.157228943
2010,9,9.192806845
2010,10,9.381790404
2010,11,8.967483079
2010,12,8.607617339
2011,1,7.935484695
2011,2,7.425119736
2011,3,7.320378245
2011,4,7.516756358
2011,5,7.614235911
2011,6,8.01087932
2011,7,8.372285964
2011,8,8.615013492
2011,9,9.169792348
2011,10,9.676585827
2011,11,9.458911405
2011,12,9.70264042
2012,1,9.116358367
2012,2,8.555655919
2012,3,8.349897575
2012,4,8.171784824
2012,5,8.518605639
2012,6,8.836562864
2012,7,9.161553735
2012,8,9.312646846
2012,9,9.841577151
2012,10,10.14217844
2012,11,10.31387187
2012,12,9.821620645
2013,1,8.71973065
2013,2,7.940222683
2013,3,7.346397849
2013,4,7.285722836
2013,5,7.390656396
2013,6,7.705370092
2013,7,8.284171775
2013,8,9.089359665
2013,9,10.42334966
2013,10,11.28168801
2013,11,10.71803636
2013,12,9.77793898
2014,1,8.778956821
2014,2,8.042308214
2014,3,7.32442258
2014,4,7.073438792
2014,5,7.661776749
2014,6,7.761488622
2014,7,8.041297824
2014,8,8.811524388
2014,9,9.767106444
2014,10,10.69899699
2014,11,10.10701817
2014,12,9.892973355
2015,1,9.547693555
2015,2,8.252058582
2015,3,7.383020188
2015,4,7.199499831
2015,5,7.54211459
2015,6,8.028456367
2015,7,8.660284024
2015,8,9.319368889
2015,9,9.928483924
2015,10,9.834967764
2015,11,9.752822223
2015,12,9.60884263
2016,1,8.759695812
2016,2,7.941980771
2016,3,7.798065785
2016,4,8.142367635
2016,5,8.397555266
2016,6,8.858929403
2016,7,9.487163332
2016,8,10.17386259
2016,9,10.59093772
2016,10,10.71626641
2016,11,10.58311017
2016,12,9.781735025
2017,1,9.003768702
2017,2,8.221081382
2017,3,7.461330386
2017,4,7.09352731
2017,5,7.427542787
2017,6,8.039212287
2017,7,8.923607148
2017,8,9.498432387
2017,9,10.12041144
2017,10,10.37105203
2017,11,10.37508935
2017,12,9.977887314
2018,1,8.995570307
2018,2,8.451942538
2018,3,7.762028636
2018,4,7.655074442
2018,5,7.973233785
2018,6,8.47175168
2018,7,8.760555559
2018,8,9.105145659
2018,9,9.574480199
2018,10,10.02217709
2018,11,9.779919815
2018,12,9.056908671
2019,1,8.318713785
2019,2,7.680717054
2019,3,7.35127541
2019,4,7.61994752
2019,5,7.715276589
2019,6,8.059782543
2019,7,8.653191347
2019,8,9.604639951
2019,9,10.30629143
2019,10,10.74985861
2019,11,10.8161944
2019,12,9.824841481
