"HAUL_ID","INDEX_NAME","SURVEY","STOCK","AREA","STRATUM","YEAR","DATE","LAT","LON","COD_N","COD_KG","DEPTH","SURFACE_TE","BOTTOM_TEM","SALINITY","BOTTOM_TYP","SEASON","AGEGROUP","AGE_N","AGE_KG","Data_type","TIME","RESPONSE","AREA_SWEPT","cobble_P","gravel_P","rock_P","mud_P","sand_P","BATHY_DEPT","oisst","rugos","COND","HAUL_ID2","setlat","endlat","setlon","endlon"
"201802_1240_5","NEFSC BTS_WGOM_SPRING","NEFSC BTS","WGOM","WGOM",1240,2018,"5/6/2018 00:00:00",42.278025,-69.051607,0,0,203,NA,6.5,NA,NA,"A.SPRING","Age0-2",0,0,"Biomass_KG",73,0,0.0384,0,0,0,1,1,-188,7.77999973297,0.850111067295,"ROUGH","2018_SPRING_245",42.27802483,42.276786,-69.05160633,-69.02927633
"201802_1260_2","NEFSC BTS_WGOM_SPRING","NEFSC BTS","WGOM","WGOM",1260,2018,"5/11/2018 00:00:00",42.467528,-70.565665,14,8.032,57,NA,4.7,NA,NA,"A.SPRING","Age0-2",1,0.101,"Count",73,1,0.0384,0,0.9,0,0.95,0.9496,-57,10.0599994659,0.596946179867,"SMOOTH","2018_SPRING_280",42.46752867,42.46754317,-70.5656655,-70.54357067
"201802_1260_5","NEFSC BTS_WGOM_SPRING","NEFSC BTS","WGOM","WGOM",1260,2018,"5/11/2018 00:00:00",42.75848,-70.402487,0,0,92,NA,4.7,NA,NA,"A.SPRING","Age0-2",0,0,"Biomass_KG",73,0,0.0384,0,0.7503,0,0.9501,0.9527,-85,9.55000019073,-0.608435332775,"SMOOTH","2018_SPRING_272",42.75848,42.772621,-70.40248667,-70.413639
"201802_1260_6","NEFSC BTS_WGOM_SPRING","NEFSC BTS","WGOM","WGOM",1260,2018,"5/11/2018 00:00:00",42.598532,-70.337403,8,27.566,92,NA,5,NA,NA,"A.SPRING","Age0-2",0,0,"Biomass_KG",73,0,0.0384,0,0.8001,0,0.9008,1,-87,9.43999958038,1.15492987633,"ROUGH","2018_SPRING_278",42.59853117,42.60689417,-70.33740267,-70.357048
"201802_1270_1","NEFSC BTS_WGOM_SPRING","NEFSC BTS","WGOM","WGOM",1270,2018,"5/10/2018 00:00:00",42.84767,-70.40939,1,3.334,134,NA,4.8,NA,NA,"A.SPRING","Age0-2",0,0,"Biomass_KG",73,0,0.0384,0,0.2478,0,0.7434,0.6143,-128,9.44999980927,1.20988059044,"ROUGH","2018_SPRING_270",42.84767083,42.85450233,-70.40938933,-70.4303045
"201802_1270_4","NEFSC BTS_WGOM_SPRING","NEFSC BTS","WGOM","WGOM",1270,2018,"5/10/2018 00:00:00",42.975128,-70.19166,0,0,160,NA,5.9,NA,NA,"A.SPRING","Age0-2",0,0,"Biomass_KG",73,0,0.0384,0,0.0993,0,0.902,0.8005,-152,9.22999954224,1.26388382912,"ROUGH","2018_SPRING_268",42.975129,42.97291333,-70.19165983,-70.16949833
"201802_1270_5","NEFSC BTS_WGOM_SPRING","NEFSC BTS","WGOM","WGOM",1270,2018,"5/10/2018 00:00:00",42.932018,-70.367518,2,9.631,135,NA,0,NA,NA,"A.SPRING","Age0-2",0,0,"Biomass_KG",73,0,0.0384,0,0.0503,0,0.6505,0.6388,-75,9.44999980927,1.12693023682,"ROUGH","2018_SPRING_269",42.93201767,42.949015,-70.36751817,-70.36498083
"201802_1280_7","NEFSC BTS_WGOM_SPRING","NEFSC BTS","WGOM","WGOM",1280,2018,"5/7/2018 00:00:00",42.406165,-69.147378,0,0,227,NA,6.8,NA,NA,"A.SPRING","Age0-2",0,0,"Biomass_KG",73,0,0.0384,0,0,0,0.8925,0.9084,-224,7.89999961853,0.254463195801,"SMOOTH","2018_SPRING_246",42.4061645,42.4059155,-69.1473775,-69.16993133
"201802_1370_3","NEFSC BTS_WGOM_SPRING","NEFSC BTS","WGOM","WGOM",1370,2018,"5/10/2018 00:00:00",43.14627,-69.7199,1,4.792,131,NA,6,NA,NA,"A.SPRING","Age0-2",0,0,"Biomass_KG",73,0,0.0384,0,0.4991,0,0.8512,1,-138,8.64999961853,0.999805212021,"ROUGH","2018_SPRING_266",43.14627067,43.16314217,-69.71989917,-69.72144917
"201802_1370_4","NEFSC BTS_WGOM_SPRING","NEFSC BTS","WGOM","WGOM",1370,2018,"5/10/2018 00:00:00",43.027715,-69.61895,2,9.018,145,NA,0,NA,NA,"A.SPRING","Age0-2",0,0,"Biomass_KG",73,0,0.0384,1,0.6422,1,0.6072,0.8273,-139,8.64999961853,0.98295634985,"ROUGH","2018_SPRING_267",43.02771517,43.01723917,-69.61895,-69.63675483
"201802_1400_1","NEFSC BTS_WGOM_SPRING","NEFSC BTS","WGOM","WGOM",1400,2018,"5/11/2018 00:00:00",42.787018,-70.562745,15,51.431,102,NA,4.7,NA,NA,"A.SPRING","Age0-2",0,0,"Biomass_KG",73,0,0.0384,0,0.3501,0,1,0.9501,-95,9.75,0.943881034851,"SMOOTH","2018_SPRING_273",42.787019,42.78260417,-70.5627455,-70.54042483
