year,s1,season,station,station_id,stationv,stratum_use,sqnm_rgh,sqnm_smt,sqnm_all,bottom_type,decdeg_beglat_set,decdeg_beglon_set,decdeg_endlat_set,decdeg_endlon_set,s_status,cruise,uniquesta,svspp,spp,common_name,sex,catchwt,expcatchnum,length,expnumlen,c_status,sppsex,sppnm
2014,1,SPRING,1,261-2,1v24,26,297.56,686.43,983.98,SMOOTH,42.21452,-70.21562,42.19979,-70.20335,audited,24141,24141  1,73,cod,ATLANTIC COD,0,2.9,3,45,1,audited,ATLANTIC COD,ATLANTIC COD
2014,1,SPRING,1,261-2,1v24,26,297.56,686.43,983.98,SMOOTH,42.21452,-70.21562,42.19979,-70.20335,audited,24141,24141  1,73,cod,ATLANTIC COD,0,2.9,3,46,1,audited,ATLANTIC COD,ATLANTIC COD
2014,1,SPRING,1,261-2,1v24,26,297.56,686.43,983.98,SMOOTH,42.21452,-70.21562,42.19979,-70.20335,audited,24141,24141  1,73,cod,ATLANTIC COD,0,2.9,3,49,1,audited,ATLANTIC COD,ATLANTIC COD
2014,1,SPRING,4,260-2,4v24,26,297.56,686.43,983.98,ROUGH,43.05640,-70.06329,43.04047,-70.05497,audited,24141,24141  4,73,cod,ATLANTIC COD,0,1.4,2,33,1,audited,ATLANTIC COD,ATLANTIC COD
2014,1,SPRING,4,260-2,4v24,26,297.56,686.43,983.98,ROUGH,43.05640,-70.06329,43.04047,-70.05497,audited,24141,24141  4,73,cod,ATLANTIC COD,0,1.4,2,50,1,audited,ATLANTIC COD,ATLANTIC COD
2014,1,SPRING,6,270-3,6v24,26,297.56,686.43,983.98,ROUGH,42.46487,-70.05541,42.44792,-70.05394,audited,24141,24141  6,73,cod,ATLANTIC COD,0,11.2,9,35,1,audited,ATLANTIC COD,ATLANTIC COD
2014,1,SPRING,6,270-3,6v24,26,297.56,686.43,983.98,ROUGH,42.46487,-70.05541,42.44792,-70.05394,audited,24141,24141  6,73,cod,ATLANTIC COD,0,11.2,9,46,2,audited,ATLANTIC COD,ATLANTIC COD
2014,1,SPRING,6,270-3,6v24,26,297.56,686.43,983.98,ROUGH,42.46487,-70.05541,42.44792,-70.05394,audited,24141,24141  6,73,cod,ATLANTIC COD,0,11.2,9,50,1,audited,ATLANTIC COD,ATLANTIC COD
2014,1,SPRING,6,270-3,6v24,26,297.56,686.43,983.98,ROUGH,42.46487,-70.05541,42.44792,-70.05394,audited,24141,24141  6,73,cod,ATLANTIC COD,0,11.2,9,51,1,audited,ATLANTIC COD,ATLANTIC COD
2014,1,SPRING,6,270-3,6v24,26,297.56,686.43,983.98,ROUGH,42.46487,-70.05541,42.44792,-70.05394,audited,24141,24141  6,73,cod,ATLANTIC COD,0,11.2,9,53,1,audited,ATLANTIC COD,ATLANTIC COD
