INDEX_NAME,SURVEY,STOCK,AREA,STRATUM,YEAR,HAUL_ID,DATE,COD_N,COD_KG,DEPTH,SURFACE_TE,BOTTOM_TEM,SALINITY,BOTTOM_TYP,SEASON,AGEGROUP,AGE_N,AGE_KG,Data_type,TIME,RESPONSE,AREA_SWEPT,cobble_P,gravel_P,rock_P,mud_P,sand_P,BATHY_DEPT,oisst,rugos,COND,BATHY.DEPTH,dep.strat,lon,lat
NEFSC BTS_WGOM_SPRING,NEFSC BTS,WGOM,WGOM,1280,2021,202102_1280_7,4/27/2021 00:00,0,0,218,NA,7.5,NA,NA,A.SPRING,Age0-2,0,0,Biomass_KG,79,0,0.0384,0,0.0526,0,1,1,-210,7.129999638,0.045849059,SMOOTH,210,deep,-69.605667,42.0095
NEFSC BTS_WGOM_FALL,NEFSC BTS,WGOM,WGOM,1260,2018,201804_1260_3,10/2/2018 00:00,82,31.802,82,NA,9.5,NA,NA,B.FALL,Age0-2,14,4.441,Count,74,14,0.0384,1,0.55,0,0.6001,1,-78,16.98999977,0.72835803,SMOOTH,78,shallow,-69.90657,42.051112
NEFSC BTS_WGOM_FALL,NEFSC BTS,WGOM,WGOM,1270,2021,202104_1270_3,11/13/2021 00:00,0,0,150,NA,9.1,NA,NA,B.FALL,Age0-2,0,0,Biomass_KG,80,0,0.0384,0,0.2992,0,0.7013,1,-136,12.14999962,0.996207714,SMOOTH,136,deep,-69.906833,42.1335
NEFSC BTS_WGOM_FALL,NEFSC BTS,WGOM,WGOM,1240,2016,201604_1240_3,11/3/2016 00:00,0,0,199,NA,7.5,NA,NA,B.FALL,Age0-2,0,0,Biomass_KG,70,0,0.0384,0,0.3994,0,1,1,-191,12.36999989,0.365549684,SMOOTH,191,deep,-69.193167,42.154055
NEFSC BTS_WGOM_SPRING,NEFSC BTS,WGOM,WGOM,1270,2016,201602_1270_5,6/4/2016 00:00,4,6.431,139,NA,6.1,NA,NA,A.SPRING,Age0-2,0,0,Biomass_KG,69,0,0.0384,0,0.0998,0,0.9498,1,-119,13.82999992,1.251840711,ROUGH,119,deep,-69.95828,42.154767
NEFSC BTS_WGOM_FALL,NEFSC BTS,WGOM,WGOM,1270,2016,201604_1270_1,11/2/2016 00:00,0,0,215,NA,7.8,NA,NA,B.FALL,Age0-2,0,0,Biomass_KG,70,0,0.0384,0,0.1981,0,0.8578,1,-215,12.34999943,1.129652023,ROUGH,215,deep,-69.763777,42.158127
NEFSC BTS_WGOM_SPRING,NEFSC BTS,WGOM,WGOM,1260,2021,202102_1260_1,4/24/2021 00:00,9,4.987,101,NA,0,NA,NA,A.SPRING,Age0-2,0,0,Count,79,0,0.0384,0,0.35,0,1,1,-86,7.029999733,1.230300665,ROUGH,86,shallow,-70.0315,42.166167
NEFSC BTS_WGOM_FALL,NEFSC BTS,WGOM,WGOM,1280,2019,201904_1280_4,11/2/2019 00:00,0,0,200,NA,7.3,NA,NA,B.FALL,Age0-2,0,0,Biomass_KG,76,0,0.0384,0,0.2021,0,0.8071,0.83,-187,13.21999931,1.109062552,ROUGH,187,deep,-69.391147,42.192443
NEFSC BTS_WGOM_FALL,NEFSC BTS,WGOM,WGOM,1260,2017,201704_1260_3,10/26/2017 00:00,3,6.189,64,NA,8.5,NA,NA,B.FALL,Age0-2,0,0,Biomass_KG,72,0,0.0384,0,0.45,0,1,1,-63,14.5899992,0.558430374,SMOOTH,63,shallow,-70.385345,42.209955
NEFSC BTS_WGOM_SPRING,NEFSC BTS,WGOM,WGOM,1260,2021,202102_1260_2,4/24/2021 00:00,0,0,69,NA,5.6,NA,NA,A.SPRING,Age0-2,0,0,Biomass_KG,79,0,0.0384,0,0.1502,0,0.9498,0.9439,-63,7.299999714,0.162734464,SMOOTH,63,shallow,-70.415833,42.215167
